Focos,Temperatura,Precipitação,Focos_m1,Temperatura_m1,Precipitação_m1,Focos_m2,Temperatura_m2,Precipitação_m2,Focos_m3,Temperatura_m3,Precipitação_m3,Focos_m4,Temperatura_m4,Precipitação_m4,Categoria
1.0,19.917785714285717,95.75,3.0,21.46112857142857,49.9375,1.0,19.581157142857144,44.6875,5.0,20.051614285714287,9875,0.0,20.99242857142857,6375,1
9.0,19.10065714285714,0.0,1.0,19.917785714285717,95.75,3.0,21.46112857142857,49.9375,1.0,19.581157142857144,44.6875,5.0,20.051614285714287,9875,5
9.0,20.73267142857143,12.5,9.0,19.10065714285714,0.0,1.0,19.917785714285717,95.75,3.0,21.46112857142857,49.9375,1.0,19.581157142857144,44.6875,5
2.0,15.784114285714285,76125,9.0,20.73267142857143,12.5,9.0,19.10065714285714,0.0,1.0,19.917785714285717,95.75,3.0,21.46112857142857,49.9375,2
2.0,18.03824285714285,0.9375,2.0,15.784114285714285,76125,9.0,20.73267142857143,12.5,9.0,19.10065714285714,0.0,1.0,19.917785714285717,95.75,2
5.0,18.708571428571425,4125,2.0,18.03824285714285,0.9375,2.0,15.784114285714285,76125,9.0,20.73267142857143,12.5,9.0,19.10065714285714,0.0,4
5.0,17.816585714285715,46.25,5.0,18.708571428571425,4125,2.0,18.03824285714285,0.9375,2.0,15.784114285714285,76125,9.0,20.73267142857143,12.5,4
10.0,18.718414285714285,58.75,5.0,17.816585714285715,46.25,5.0,18.708571428571425,4125,2.0,18.03824285714285,0.9375,2.0,15.784114285714285,76125,5
5.0,17.616442857142857,156687,10.0,18.718414285714285,58.75,5.0,17.816585714285715,46.25,5.0,18.708571428571425,4125,2.0,18.03824285714285,0.9375,4
0.0,19.301414285714287,0.0,5.0,17.616442857142857,156687,10.0,18.718414285714285,58.75,5.0,17.816585714285715,46.25,5.0,18.708571428571425,4125,1
5.0,21.2301,0.0,0.0,19.301414285714287,0.0,5.0,17.616442857142857,156687,10.0,18.718414285714285,58.75,5.0,17.816585714285715,46.25,4
4.0,21.725057142857143,125,5.0,21.2301,0.0,0.0,19.301414285714287,0.0,5.0,17.616442857142857,156687,10.0,18.718414285714285,58.75,3
4.0,20.23592857142857,17375,4.0,21.725057142857143,125,5.0,21.2301,0.0,0.0,19.301414285714287,0.0,5.0,17.616442857142857,156687,3
4.0,18.964971428571427,53.25,4.0,20.23592857142857,17375,4.0,21.725057142857143,125,5.0,21.2301,0.0,0.0,19.301414285714287,0.0,3
18.0,18.631614285714285,25.75,4.0,18.964971428571427,53.25,4.0,20.23592857142857,17375,4.0,21.725057142857143,125,5.0,21.2301,0.0,6
4.0,18.405857142857144,52875,18.0,18.631614285714285,25.75,4.0,18.964971428571427,53.25,4.0,20.23592857142857,17375,4.0,21.725057142857143,125,3
6.0,20.18777142857143,57625,4.0,18.405857142857144,52875,18.0,18.631614285714285,25.75,4.0,18.964971428571427,53.25,4.0,20.23592857142857,17375,4
4.0,22.024228571428573,26625,6.0,20.18777142857143,57625,4.0,18.405857142857144,52875,18.0,18.631614285714285,25.75,4.0,18.964971428571427,53.25,3
3.0,20.12884285714286,109.25,4.0,22.024228571428573,26625,6.0,20.18777142857143,57625,4.0,18.405857142857144,52875,18.0,18.631614285714285,25.75,3
3.0,19.473785714285714,60.3125,3.0,20.12884285714286,109.25,4.0,22.024228571428573,26625,6.0,20.18777142857143,57625,4.0,18.405857142857144,52875,3
6.0,20.143185714285718,85125,3.0,19.473785714285714,60.3125,3.0,20.12884285714286,109.25,4.0,22.024228571428573,26625,6.0,20.18777142857143,57625,4
3.0,19.873914285714285,66.25,6.0,20.143185714285718,85125,3.0,19.473785714285714,60.3125,3.0,20.12884285714286,109.25,4.0,22.024228571428573,26625,3
0.0,20.876214285714287,54.75,3.0,19.873914285714285,66.25,6.0,20.143185714285718,85125,3.0,19.473785714285714,60.3125,3.0,20.12884285714286,109.25,1
5.0,19.34337142857143,76.5,0.0,20.876214285714287,54.75,3.0,19.873914285714285,66.25,6.0,20.143185714285718,85125,3.0,19.473785714285714,60.3125,4
3.0,23.12885714285714,12625,5.0,19.34337142857143,76.5,0.0,20.876214285714287,54.75,3.0,19.873914285714285,66.25,6.0,20.143185714285718,85125,3
7.0,22.82792857142857,31125,3.0,23.12885714285714,12625,5.0,19.34337142857143,76.5,0.0,20.876214285714287,54.75,3.0,19.873914285714285,66.25,4
5.0,22.20202857142857,33125,7.0,22.82792857142857,31125,3.0,23.12885714285714,12625,5.0,19.34337142857143,76.5,0.0,20.876214285714287,54.75,4
3.0,21.851785714285715,31125,5.0,22.20202857142857,33125,7.0,22.82792857142857,31125,3.0,23.12885714285714,12625,5.0,19.34337142857143,76.5,3
3.0,22.97695714285714,20.0625,3.0,21.851785714285715,31125,5.0,22.20202857142857,33125,7.0,22.82792857142857,31125,3.0,23.12885714285714,12625,3
4.0,25.413100000000004,39125,3.0,22.97695714285714,20.0625,3.0,21.851785714285715,31125,5.0,22.20202857142857,33125,7.0,22.82792857142857,31125,3
3.0,24.392757142857143,68125,4.0,25.413100000000004,39125,3.0,22.97695714285714,20.0625,3.0,21.851785714285715,31125,5.0,22.20202857142857,33125,3
2.0,25.72002857142857,69.5,3.0,24.392757142857143,68125,4.0,25.413100000000004,39125,3.0,22.97695714285714,20.0625,3.0,21.851785714285715,31125,2
7.0,25.01694285714285,15875,2.0,25.72002857142857,69.5,3.0,24.392757142857143,68125,4.0,25.413100000000004,39125,3.0,22.97695714285714,20.0625,4
5.0,25.48127142857143,120.0625,7.0,25.01694285714285,15875,2.0,25.72002857142857,69.5,3.0,24.392757142857143,68125,4.0,25.413100000000004,39125,4
13.0,25.536671428571427,0.0,5.0,25.48127142857143,120.0625,7.0,25.01694285714285,15875,2.0,25.72002857142857,69.5,3.0,24.392757142857143,68125,6
12.0,25.548228571428574,68125,13.0,25.536671428571427,0.0,5.0,25.48127142857143,120.0625,7.0,25.01694285714285,15875,2.0,25.72002857142857,69.5,6
13.0,24.209457142857143,78.6875,12.0,25.548228571428574,68125,13.0,25.536671428571427,0.0,5.0,25.48127142857143,120.0625,7.0,25.01694285714285,15875,6
1.0,26.246214285714284,3.6875,13.0,24.209457142857143,78.6875,12.0,25.548228571428574,68125,13.0,25.536671428571427,0.0,5.0,25.48127142857143,120.0625,1
24.0,26.48674285714285,34375,1.0,26.246214285714284,3.6875,13.0,24.209457142857143,78.6875,12.0,25.548228571428574,68125,13.0,25.536671428571427,0.0,7
29.0,26.894457142857146,113375,24.0,26.48674285714285,34375,1.0,26.246214285714284,3.6875,13.0,24.209457142857143,78.6875,12.0,25.548228571428574,68125,7
9.0,23.32144285714286,131.0625,29.0,26.894457142857146,113375,24.0,26.48674285714285,34375,1.0,26.246214285714284,3.6875,13.0,24.209457142857143,78.6875,5
0.0,24.25655714285714,86.5,9.0,23.32144285714286,131.0625,29.0,26.894457142857146,113375,24.0,26.48674285714285,34375,1.0,26.246214285714284,3.6875,1
8.0,24.766114285714284,0.5,0.0,24.25655714285714,86.5,9.0,23.32144285714286,131.0625,29.0,26.894457142857146,113375,24.0,26.48674285714285,34375,5
0.0,24.132842857142855,86.4375,8.0,24.766114285714284,0.5,0.0,24.25655714285714,86.5,9.0,23.32144285714286,131.0625,29.0,26.894457142857146,113375,1
7.0,24.6801,5.5,0.0,24.132842857142855,86.4375,8.0,24.766114285714284,0.5,0.0,24.25655714285714,86.5,9.0,23.32144285714286,131.0625,4
3.0,26.0397,8625,7.0,24.6801,5.5,0.0,24.132842857142855,86.4375,8.0,24.766114285714284,0.5,0.0,24.25655714285714,86.5,3
28.0,24.94235714285714,37.5,3.0,26.0397,8625,7.0,24.6801,5.5,0.0,24.132842857142855,86.4375,8.0,24.766114285714284,0.5,7
14.0,26.487671428571428,26.0,28.0,24.94235714285714,37.5,3.0,26.0397,8625,7.0,24.6801,5.5,0.0,24.132842857142855,86.4375,6
14.0,19.2976,28125,14.0,26.487671428571428,26.0,28.0,24.94235714285714,37.5,3.0,26.0397,8625,7.0,24.6801,5.5,6
7.0,18.217285714285715,11.25,14.0,19.2976,28125,14.0,26.487671428571428,26.0,28.0,24.94235714285714,37.5,3.0,26.0397,8625,4
4.0,20.005757142857146,0.5625,7.0,18.217285714285715,11.25,14.0,19.2976,28125,14.0,26.487671428571428,26.0,28.0,24.94235714285714,37.5,3
13.0,16.552542857142857,23.5,4.0,20.005757142857146,0.5625,7.0,18.217285714285715,11.25,14.0,19.2976,28125,14.0,26.487671428571428,26.0,6
1.0,17.386985714285714,22875,13.0,16.552542857142857,23.5,4.0,20.005757142857146,0.5625,7.0,18.217285714285715,11.25,14.0,19.2976,28125,1
14.0,16.937014285714287,19125,1.0,17.386985714285714,22875,13.0,16.552542857142857,23.5,4.0,20.005757142857146,0.5625,7.0,18.217285714285715,11.25,6
4.0,12.420742857142857,125,14.0,16.937014285714287,19125,1.0,17.386985714285714,22875,13.0,16.552542857142857,23.5,4.0,20.005757142857146,0.5625,3
3.0,13.855098571428572,20125,4.0,12.420742857142857,125,14.0,16.937014285714287,19125,1.0,17.386985714285714,22875,13.0,16.552542857142857,23.5,3
1.0,14.184542857142857,15625,3.0,13.855098571428572,20125,4.0,12.420742857142857,125,14.0,16.937014285714287,19125,1.0,17.386985714285714,22875,1
2.0,16.536385714285714,0.0,1.0,14.184542857142857,15625,3.0,13.855098571428572,20125,4.0,12.420742857142857,125,14.0,16.937014285714287,19125,2
7.0,16.356514285714287,0.0,2.0,16.536385714285714,0.0,1.0,14.184542857142857,15625,3.0,13.855098571428572,20125,4.0,12.420742857142857,125,4
2.0,17.790157142857144,113.75,7.0,16.356514285714287,0.0,2.0,16.536385714285714,0.0,1.0,14.184542857142857,15625,3.0,13.855098571428572,20125,2
2.0,12.177254285714286,1125,2.0,17.790157142857144,113.75,7.0,16.356514285714287,0.0,2.0,16.536385714285714,0.0,1.0,14.184542857142857,15625,2
0.0,16.133285714285712,125,2.0,12.177254285714286,1125,2.0,17.790157142857144,113.75,7.0,16.356514285714287,0.0,2.0,16.536385714285714,0.0,1
9.0,18579,4.0,0.0,16.133285714285712,125,2.0,12.177254285714286,1125,2.0,17.790157142857144,113.75,7.0,16.356514285714287,0.0,5
0.0,15.723885714285714,14625,9.0,18579,4.0,0.0,16.133285714285712,125,2.0,12.177254285714286,1125,2.0,17.790157142857144,113.75,1
0.0,17.661914285714285,37875,0.0,15.723885714285714,14625,9.0,18579,4.0,0.0,16.133285714285712,125,2.0,12.177254285714286,1125,1
0.0,16.068514285714286,16125,0.0,17.661914285714285,37875,0.0,15.723885714285714,14625,9.0,18579,4.0,0.0,16.133285714285712,125,1
7.0,19.32822857142857,4.0,0.0,16.068514285714286,16125,0.0,17.661914285714285,37875,0.0,15.723885714285714,14625,9.0,18579,4.0,4
4.0,18.655485714285717,107625,7.0,19.32822857142857,4.0,0.0,16.068514285714286,16125,0.0,17.661914285714285,37875,0.0,15.723885714285714,14625,3
2.0,20.045385714285715,1.0,4.0,18.655485714285717,107625,7.0,19.32822857142857,4.0,0.0,16.068514285714286,16125,0.0,17.661914285714285,37875,2
0.0,18.430271428571427,3.25,2.0,20.045385714285715,1.0,4.0,18.655485714285717,107625,7.0,19.32822857142857,4.0,0.0,16.068514285714286,16125,1
1.0,17.438357142857143,0.0,0.0,18.430271428571427,3.25,2.0,20.045385714285715,1.0,4.0,18.655485714285717,107625,7.0,19.32822857142857,4.0,1
10.0,18171,52125,1.0,17.438357142857143,0.0,0.0,18.430271428571427,3.25,2.0,20.045385714285715,1.0,4.0,18.655485714285717,107625,5
1.0,19.99032857142857,17.75,10.0,18171,52125,1.0,17.438357142857143,0.0,0.0,18.430271428571427,3.25,2.0,20.045385714285715,1.0,1
0.0,22.11952857142857,37.75,1.0,19.99032857142857,17.75,10.0,18171,52125,1.0,17.438357142857143,0.0,0.0,18.430271428571427,3.25,1
1.0,21.04077142857143,62875,0.0,22.11952857142857,37.75,1.0,19.99032857142857,17.75,10.0,18171,52125,1.0,17.438357142857143,0.0,1
14.0,21.16752857142857,2.0,1.0,21.04077142857143,62875,0.0,22.11952857142857,37.75,1.0,19.99032857142857,17.75,10.0,18171,52125,6
0.0,23.098285714285712,8.0,14.0,21.16752857142857,2.0,1.0,21.04077142857143,62875,0.0,22.11952857142857,37.75,1.0,19.99032857142857,17.75,1
3.0,21.167957142857144,32375,0.0,23.098285714285712,8.0,14.0,21.16752857142857,2.0,1.0,21.04077142857143,62875,0.0,22.11952857142857,37.75,3
4.0,21.384871428571422,2.0,3.0,21.167957142857144,32375,0.0,23.098285714285712,8.0,14.0,21.16752857142857,2.0,1.0,21.04077142857143,62875,3
7.0,22.618242857142857,7.25,4.0,21.384871428571422,2.0,3.0,21.167957142857144,32375,0.0,23.098285714285712,8.0,14.0,21.16752857142857,2.0,4
9.0,22.07097142857143,126625,7.0,22.618242857142857,7.25,4.0,21.384871428571422,2.0,3.0,21.167957142857144,32375,0.0,23.098285714285712,8.0,5
5.0,22.62774285714286,32.5625,9.0,22.07097142857143,126625,7.0,22.618242857142857,7.25,4.0,21.384871428571422,2.0,3.0,21.167957142857144,32375,4
2.0,24.854257142857143,30.75,5.0,22.62774285714286,32.5625,9.0,22.07097142857143,126625,7.0,22.618242857142857,7.25,4.0,21.384871428571422,2.0,2
0.0,26.39184285714285,56375,2.0,24.854257142857143,30.75,5.0,22.62774285714286,32.5625,9.0,22.07097142857143,126625,7.0,22.618242857142857,7.25,1
4.0,26.536471428571428,35.9375,0.0,26.39184285714285,56375,2.0,24.854257142857143,30.75,5.0,22.62774285714286,32.5625,9.0,22.07097142857143,126625,3
12.0,26.62467142857143,12.5625,4.0,26.536471428571428,35.9375,0.0,26.39184285714285,56375,2.0,24.854257142857143,30.75,5.0,22.62774285714286,32.5625,6
11.0,26.594385714285718,18.5625,12.0,26.62467142857143,12.5625,4.0,26.536471428571428,35.9375,0.0,26.39184285714285,56375,2.0,24.854257142857143,30.75,5
4.0,24.609514285714283,67.4375,11.0,26.594385714285718,18.5625,12.0,26.62467142857143,12.5625,4.0,26.536471428571428,35.9375,0.0,26.39184285714285,56375,3
7.0,25.582985714285712,102.25,4.0,24.609514285714283,67.4375,11.0,26.594385714285718,18.5625,12.0,26.62467142857143,12.5625,4.0,26.536471428571428,35.9375,4
9.0,25.97904285714285,4.75,7.0,25.582985714285712,102.25,4.0,24.609514285714283,67.4375,11.0,26.594385714285718,18.5625,12.0,26.62467142857143,12.5625,5
12.0,27.34707142857143,83625,9.0,25.97904285714285,4.75,7.0,25.582985714285712,102.25,4.0,24.609514285714283,67.4375,11.0,26.594385714285718,18.5625,6
18.0,27.43237142857143,7125,12.0,27.34707142857143,83625,9.0,25.97904285714285,4.75,7.0,25.582985714285712,102.25,4.0,24.609514285714283,67.4375,6
3.0,27.03752857142857,6125,18.0,27.43237142857143,7125,12.0,27.34707142857143,83625,9.0,25.97904285714285,4.75,7.0,25.582985714285712,102.25,3
17.0,25.9321,101.0625,3.0,27.03752857142857,6125,18.0,27.43237142857143,7125,12.0,27.34707142857143,83625,9.0,25.97904285714285,4.75,6
18.0,24.202771428571427,15.0625,17.0,25.9321,101.0625,3.0,27.03752857142857,6125,18.0,27.43237142857143,7125,12.0,27.34707142857143,83625,6
12.0,22.76377142857143,56.0625,18.0,24.202771428571427,15.0625,17.0,25.9321,101.0625,3.0,27.03752857142857,6125,18.0,27.43237142857143,7125,6
17.0,22.561585714285712,39625,12.0,22.76377142857143,56.0625,18.0,24.202771428571427,15.0625,17.0,25.9321,101.0625,3.0,27.03752857142857,6125,6
7.0,22.86858571428572,73.9375,17.0,22.561585714285712,39625,12.0,22.76377142857143,56.0625,18.0,24.202771428571427,15.0625,17.0,25.9321,101.0625,4
8.0,23.27264285714286,13.5,7.0,22.86858571428572,73.9375,17.0,22.561585714285712,39625,12.0,22.76377142857143,56.0625,18.0,24.202771428571427,15.0625,5
17.0,21.647257142857143,24.0,8.0,23.27264285714286,13.5,7.0,22.86858571428572,73.9375,17.0,22.561585714285712,39625,12.0,22.76377142857143,56.0625,6
24.0,19.5649,17875,17.0,21.647257142857143,24.0,8.0,23.27264285714286,13.5,7.0,22.86858571428572,73.9375,17.0,22.561585714285712,39625,7
5.0,20.703985714285714,4.25,24.0,19.5649,17875,17.0,21.647257142857143,24.0,8.0,23.27264285714286,13.5,7.0,22.86858571428572,73.9375,4
9.0,21.07791428571429,5125,5.0,20.703985714285714,4.25,24.0,19.5649,17875,17.0,21.647257142857143,24.0,8.0,23.27264285714286,13.5,5
