Semana,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2014-01-05,28.751395023007188,28.925781504177586,27.96364045418144,30.811520488489247,29.237249707575643,29.579704269939405,29.61189618680637,28.68622369345132,28.83737512017416,28.19429787742005,30.04640639829429,31.40213812650696,29.58899855337548,28.09155544708216,26.37062355938431,30.396442510377167,27.565704439528226
2014-01-12,26.52473750660625,28.042508886821235,26.05251960788243,28.80287897870654,27.43318280743105,27.658868028697206,29.860533678149345,28.58910941384056,28.12712013371537,26.131645263783444,29.967101472796816,30.651503925374897,27.53900823261747,26.816106538882025,24.630290179619067,30.013875793337583,25.586849528824228
2014-01-19,30.226289805604992,32.53113279362986,30.14008191759436,33.074112931887306,31.19678146057355,31.501158609967128,32.88883449454349,31.209604881583868,30.88797365102749,30.03945487637085,33.9335988593824,34.00265150507184,31.31575453511536,31.10357807613806,28.3462266046666,33.63614553014826,29.06299851589769
2014-01-26,31.11698379172935,33.07072943055045,30.84620738854532,33.71232948700587,31.363497791247934,31.43014325322332,32.9565569930452,31.736257378714424,31.50825794242366,30.374840757844147,34.288459746455736,33.6111804648551,32.10228006075708,31.76153921165814,29.413095312502207,33.7621159413556,29.784170188029822
2014-02-02,32.87407481562984,34.901516708992176,32.532871765062254,35.14118986470359,33.423187802227936,33.04351967918366,33.63666557223039,33.06705217237596,32.47692789350237,32.1255571260227,36.02365194873892,35.47305738443956,33.97488685004039,33.366930813293095,30.81918244900631,35.19651899692364,31.395526280621635
2014-02-09,29.742866086530256,30.982442419666217,28.837492833649467,30.76005992719105,30.257922105485644,29.513343788942315,31.3915122007142,30.25115848590801,29.551366147229817,28.794613416605248,32.68641128374901,32.46805242708109,31.090597084590367,29.51916882583262,27.12771509745356,32.22470354054072,28.780074586122826
2014-02-16,27.67849479341445,26.6997697104269,25.090702529914,27.76956897264435,29.074192616076587,26.71715223098814,28.70459719510537,27.360311716253108,26.86095038972022,25.988880877285627,28.236201349894205,28.365974927526924,29.29953400784938,25.151967289044915,23.79600489521509,28.28681399724255,27.17380051857056
2014-02-23,26.00971199094559,28.559624597716184,26.083455420852022,27.827642240694587,26.577338436812845,26.904652294811903,30.14273946556336,28.125267633215177,27.018975157093863,25.47661984597068,29.895952695375914,30.98268906318274,27.07778418294252,27.128456681813468,23.83245591719849,30.19351289976833,25.12463788909089
2014-03-02,25.888561985207343,26.02989121337436,24.43758594915733,26.56672294083096,27.18269707307737,26.00735932182008,28.45288442383702,26.59233903166536,26.23132830170036,24.57489319298211,27.898630203313125,29.20967765766977,27.55040706538785,25.67561139558491,22.63196295170978,28.51502081839305,25.819085545295653
2014-03-09,26.59072358513124,27.89677902579562,26.384479308614928,27.062098826680863,27.420164046156945,26.40625251858391,28.410333066222968,27.21810809246905,26.65091019833858,25.91903564229993,28.76290881994999,29.418475816834647,27.7058868168864,27.49479345526203,24.00108482348893,28.989607883759444,26.10638163867344
2014-03-16,25.33008348128664,28.167855836180987,25.57139219471916,26.812386101200463,25.5619958062952,26.244805653889976,29.859769687708194,28.14007684881037,26.65637593166702,25.021574563197,29.84576057334999,30.502594318030017,25.960459040859032,27.42768505943307,23.42961721666116,30.042392644863536,25.030522246245106
