,Semana,Município,Focos,ponto
8032,2018-04-22,NAVEGANTES,21,POINT (-48.72739585880501 -26.82874286660231)
8033,2018-04-22,MONDAÍ,5,POINT (-53.44649707854179 -27.09929258522074)
8034,2018-04-22,MODELO,5,POINT (-53.05109629093748 -26.77477746640045)
8035,2018-04-22,MARAVILHA,4,POINT (-53.19811282877847 -26.759973577360107)
8036,2018-04-22,SANTA ROSA DO SUL,1,POINT (-49.743750639484986 -29.121482522349368)
8037,2018-04-22,PALMA SOLA,2,POINT (-53.31452923662933 -26.37354381742908)
8038,2018-04-22,SAUDADES,4,POINT (-53.04001442530173 -26.89720679402398)
8039,2018-04-22,ÁGUAS DE CHAPECÓ,3,POINT (-52.95673527930452 -27.054386024452793)
8040,2018-04-22,SERRA ALTA,1,POINT (-53.0252384398724 -26.69262092171896)
8041,2018-04-22,JUPIÁ,3,POINT (-52.720920059617036 -26.394105628089882)
8042,2018-04-22,XAXIM,22,POINT (-52.52910542362624 -26.97030880074372)
8043,2018-04-22,XAVANTINA,3,POINT (-52.321889849825574 -27.02121446664788)
8044,2018-04-22,XANXERÊ,9,POINT (-52.409753977893864 -26.87227935615384)
8045,2018-04-22,VARGEM BONITA,1,POINT (-51.7566311514641 -26.944996335664232)
8046,2018-04-22,UNIÃO DO OESTE,4,POINT (-52.85600990552198 -26.786666327181376)
8047,2018-04-22,TIGRINHOS,4,POINT (-53.15654614606529 -26.676066622551186)
8048,2018-04-22,SÃO MIGUEL DO OESTE,13,POINT (-53.51212123092325 -26.727236944731406)
8049,2018-04-22,SEARA,5,POINT (-52.34069428230799 -27.147832610525413)
8050,2018-04-22,SÃO MIGUEL DA BOA VISTA,1,POINT (-53.23996170119908 -26.689643491003483)
8051,2018-04-22,ÁGUAS FRIAS,1,POINT (-52.85231124188476 -26.851638850973643)
8052,2018-04-22,SÃO JOSÉ DO CEDRO,3,POINT (-53.53373642407425 -26.48085134039229)
8053,2018-04-22,SÃO JOSÉ,34,POINT (-48.65625577254402 -27.57847109713233)
8054,2018-04-22,SÃO DOMINGOS,8,POINT (-52.55460248576241 -26.53938727845183)
8055,2018-04-22,SÃO CARLOS,1,POINT (-53.03141183563582 -27.030109233268377)
8056,2018-04-22,SÃO BERNARDINO,2,POINT (-52.98761130109326 -26.4876954650617)
8057,2018-04-22,SÃO BENTO DO SUL,1,POINT (-49.34998168331938 -26.294901587995746)
8058,2018-04-22,SUL BRASIL,2,POINT (-52.94680043392991 -26.695341808174227)
8059,2018-04-22,SÃO LOURENÇO DO OESTE,14,POINT (-52.859772864625924 -26.465488220200026)
8060,2018-04-22,JOINVILLE,19,POINT (-48.95140521079262 -26.244282225607027)
8061,2018-04-22,CAIBI,5,POINT (-53.26305757870258 -27.025175523184227)
8062,2018-04-22,IÇARA,1,POINT (-49.277346428181566 -28.751615358390502)
8063,2018-04-22,CONCÓRDIA,4,POINT (-52.00738181173657 -27.23912654780915)
8064,2018-04-22,COCAL DO SUL,1,POINT (-49.3339303801786 -28.59869687778446)
8065,2018-04-22,CHAPECÓ,30,POINT (-52.6503387011512 -27.125143757264095)
8066,2018-04-22,CAXAMBU DO SUL,1,POINT (-52.92021076953631 -27.14671120355529)
8067,2018-04-22,CATANDUVAS,3,POINT (-51.696411039929494 -27.04499810338548)
8068,2018-04-22,CAMPO ERÊ,5,POINT (-53.13029027791252 -26.450418785075478)
8069,2018-04-22,CAMBORIÚ,23,POINT (-48.70898929280387 -27.070938703807666)
8070,2018-04-22,BRUSQUE,9,POINT (-48.90974338759385 -27.125000077860673)
8071,2018-04-22,BOM JESUS DO OESTE,1,POINT (-53.095288071802216 -26.684020817771067)
8072,2018-04-22,BOM JESUS,3,POINT (-52.389991137631434 -26.7390418954996)
8073,2018-04-22,BLUMENAU,14,POINT (-49.09730924738388 -26.885766673711007)
8074,2018-04-22,BIGUAÇU,6,POINT (-48.69394689806006 -27.433529852830816)
8075,2018-04-22,BELMONTE,1,POINT (-53.61806004596434 -26.857082065884523)
8076,2018-04-22,BALNEÁRIO PIÇARRAS,7,POINT (-48.733290126728555 -26.759491595089575)
8077,2018-04-22,BALNEÁRIO CAMBORIÚ,31,POINT (-48.62174059290786 -27.004736811989282)
8078,2018-04-22,ARAQUARI,1,POINT (-48.75777734611065 -26.461708089601323)
8079,2018-04-22,JARAGUÁ DO SUL,1,POINT (-49.159974339900636 -26.481907693524388)
8080,2018-04-22,CORDILHEIRA ALTA,2,POINT (-52.64165994492363 -26.975707450831653)
8081,2018-04-22,CORONEL FREITAS,4,POINT (-52.72505203540188 -26.883161405516894)
8082,2018-04-22,ANCHIETA,3,POINT (-53.33310864178267 -26.532948184400585)
8083,2018-04-22,CUNHA PORÃ,3,POINT (-53.19066459516312 -26.879227556402125)
8084,2018-04-22,CORONEL MARTINS,5,POINT (-52.67187452260622 -26.53464591641919)
8085,2018-04-22,ITAPIRANGA,6,POINT (-53.711674144548695 -27.112222405376688)
8086,2018-04-22,ITAJAÍ,27,POINT (-48.753417164343155 -26.96901297467498)
8087,2018-04-22,IRATI,1,POINT (-52.89009910522137 -26.627592284222846)
8088,2018-04-22,IPUAÇU,2,POINT (-52.47601370371535 -26.6787391439459)
8089,2018-04-22,IPORÃ DO OESTE,4,POINT (-53.489414418215965 -27.000431634442474)
8090,2018-04-22,IMBITUBA,1,POINT (-48.70266299449253 -28.19427352006288)
8091,2018-04-22,GUATAMBÚ,1,POINT (-52.78338990117775 -27.11647391751629)
8092,2018-04-22,GUARUJÁ DO SUL,9,POINT (-53.484020658272556 -26.39833636190546)
8093,2018-04-22,ITÁ,3,POINT (-52.332158322558705 -27.24401504736772)
8094,2018-04-22,GASPAR,1,POINT (-48.96603277755912 -26.931342854989225)
8095,2018-04-22,GARUVA,1,POINT (-48.86732766109188 -26.05711167861282)
8096,2018-04-22,GAROPABA,1,POINT (-48.65893578099145 -28.046733934256846)
8097,2018-04-22,FORMOSA DO SUL,2,POINT (-52.79378914566691 -26.634189292444557)
8098,2018-04-22,FLORIANÓPOLIS,19,POINT (-48.50819805014117 -27.577833913876493)
8099,2018-04-22,FLOR DO SERTÃO,1,POINT (-53.33734229657069 -26.76378082164953)
8100,2018-04-22,DIONÍSIO CERQUEIRA,2,POINT (-53.533104817609406 -26.329842624688034)
8101,2018-04-22,GUARACIABA,2,POINT (-53.571076311226726 -26.580105565442395)
8102,2018-04-22,DESCANSO,2,POINT (-53.479300522303596 -26.858413595000634)
8103,2018-04-29,QUILOMBO,16,POINT (-52.71798207770491 -26.729236446637557)
8104,2018-04-29,PRINCESA,10,POINT (-53.611775698473636 -26.432945074493837)
8105,2018-04-29,PORTO UNIÃO,24,POINT (-51.00778459817214 -26.38362840601625)
8106,2018-04-29,PORTO BELO,3,POINT (-48.61643450369326 -27.174795882021932)
8107,2018-04-29,PINHALZINHO,2,POINT (-52.97663206995043 -26.829373480377633)
8108,2018-04-29,PENHA,3,POINT (-48.650764520912794 -26.807759800934015)
8109,2018-04-29,PASSO DE TORRES,1,POINT (-49.72193226710953 -29.267247532606632)
8110,2018-04-29,PALHOÇA,9,POINT (-48.66170819531588 -27.77182146966105)
8111,2018-04-29,PALMITOS,3,POINT (-53.179829065049795 -27.09262173445292)
8112,2018-04-29,PALMA SOLA,1,POINT (-53.31452923662933 -26.37354381742908)
8113,2018-04-29,NOVA TRENTO,2,POINT (-49.04136677854023 -27.313268123121375)
8114,2018-04-29,NOVA ITABERABA,1,POINT (-52.83316646064405 -26.961141868867955)
8115,2018-04-29,NOVA ERECHIM,3,POINT (-52.90669278808881 -26.908168558958387)
8116,2018-04-29,NAVEGANTES,24,POINT (-48.72739585880501 -26.82874286660231)
8117,2018-04-29,MONDAÍ,10,POINT (-53.44649707854179 -27.09929258522074)
8118,2018-04-29,RIQUEZA,1,POINT (-53.34435192618812 -26.978455061099254)
8119,2018-04-29,PARAÍSO,9,POINT (-53.67830388048522 -26.662800366381106)
8120,2018-04-29,ROMELÂNDIA,1,POINT (-53.31712397583878 -26.648389532310617)
8121,2018-04-29,SÃO JOSÉ DO CEDRO,1,POINT (-53.53373642407425 -26.48085134039229)
8122,2018-04-29,SEARA,7,POINT (-52.34069428230799 -27.147832610525413)
8123,2018-04-29,MODELO,1,POINT (-53.05109629093748 -26.77477746640045)
8124,2018-04-29,ÁGUAS DE CHAPECÓ,2,POINT (-52.95673527930452 -27.054386024452793)
8125,2018-04-29,XAXIM,13,POINT (-52.52910542362624 -26.97030880074372)
8126,2018-04-29,XANXERÊ,21,POINT (-52.409753977893864 -26.87227935615384)
8127,2018-04-29,VARGEM BONITA,2,POINT (-51.7566311514641 -26.944996335664232)
8128,2018-04-29,UNIÃO DO OESTE,5,POINT (-52.85600990552198 -26.786666327181376)
8129,2018-04-29,SÃO MIGUEL DO OESTE,71,POINT (-53.51212123092325 -26.727236944731406)
8130,2018-04-29,SAUDADES,17,POINT (-53.04001442530173 -26.89720679402398)
8131,2018-04-29,SÃO LUDGERO,1,POINT (-49.16816231413642 -28.353134609105727)
8132,2018-04-29,SÃO JOSÉ,28,POINT (-48.65625577254402 -27.57847109713233)
8133,2018-04-29,SÃO DOMINGOS,18,POINT (-52.55460248576241 -26.53938727845183)
8134,2018-04-29,SÃO CARLOS,10,POINT (-53.03141183563582 -27.030109233268377)
8135,2018-04-29,SÃO BERNARDINO,2,POINT (-52.98761130109326 -26.4876954650617)
8136,2018-04-29,SUL BRASIL,2,POINT (-52.94680043392991 -26.695341808174227)
8137,2018-04-29,SOMBRIO,1,POINT (-49.6559270933593 -29.070190675497283)
8138,2018-04-29,SERRA ALTA,5,POINT (-53.0252384398724 -26.69262092171896)
8139,2018-04-29,SÃO LOURENÇO DO OESTE,10,POINT (-52.859772864625924 -26.465488220200026)
8140,2018-04-29,MARAVILHA,6,POINT (-53.19811282877847 -26.759973577360107)
8141,2018-04-29,CORONEL FREITAS,1,POINT (-52.72505203540188 -26.883161405516894)
8142,2018-04-29,JARAGUÁ DO SUL,5,POINT (-49.159974339900636 -26.481907693524388)
8143,2018-04-29,CONCÓRDIA,2,POINT (-52.00738181173657 -27.23912654780915)
8144,2018-04-29,CHAPECÓ,105,POINT (-52.6503387011512 -27.125143757264095)
8145,2018-04-29,CAÇADOR,1,POINT (-51.08466522606485 -26.76301573603967)
8146,2018-04-29,CAMPO ERÊ,3,POINT (-53.13029027791252 -26.450418785075478)
8147,2018-04-29,CAMBORIÚ,31,POINT (-48.70898929280387 -27.070938703807666)
8148,2018-04-29,CAIBI,7,POINT (-53.26305757870258 -27.025175523184227)
8149,2018-04-29,BRUSQUE,8,POINT (-48.90974338759385 -27.125000077860673)
8150,2018-04-29,BOM JESUS,1,POINT (-52.389991137631434 -26.7390418954996)
8151,2018-04-29,BLUMENAU,3,POINT (-49.09730924738388 -26.885766673711007)
8152,2018-04-29,BIGUAÇU,1,POINT (-48.69394689806006 -27.433529852830816)
8153,2018-04-29,BELMONTE,1,POINT (-53.61806004596434 -26.857082065884523)
8154,2018-04-29,BANDEIRANTE,4,POINT (-53.64816794738197 -26.768595796097028)
8155,2018-04-29,BALNEÁRIO PIÇARRAS,2,POINT (-48.733290126728555 -26.759491595089575)
8156,2018-04-29,BALNEÁRIO CAMBORIÚ,23,POINT (-48.62174059290786 -27.004736811989282)
8157,2018-04-29,ARVOREDO,1,POINT (-52.44198670964182 -27.07085356427636)
8158,2018-04-29,CORDILHEIRA ALTA,1,POINT (-52.64165994492363 -26.975707450831653)
8159,2018-04-29,JOINVILLE,25,POINT (-48.95140521079262 -26.244282225607027)
8160,2018-04-29,BARRA VELHA,1,POINT (-48.72738559449102 -26.662440609824166)
8161,2018-04-29,FAXINAL DOS GUEDES,1,POINT (-52.24432281425879 -26.846669473721352)
8162,2018-04-29,CUNHA PORÃ,21,POINT (-53.19066459516312 -26.879227556402125)
8163,2018-04-29,IÇARA,4,POINT (-49.277346428181566 -28.751615358390502)
8164,2018-04-29,ITUPORANGA,1,POINT (-49.53886990331492 -27.45344960217853)
8165,2018-04-29,ITAPEMA,10,POINT (-48.63442695278928 -27.10858334921313)
8166,2018-04-29,ITAJAÍ,68,POINT (-48.753417164343155 -26.96901297467498)
8167,2018-04-29,IRACEMINHA,3,POINT (-53.32445648581825 -26.845317195563474)
8168,2018-04-29,IPUAÇU,7,POINT (-52.47601370371535 -26.6787391439459)
8169,2018-04-29,IPORÃ DO OESTE,4,POINT (-53.489414418215965 -27.000431634442474)
8170,2018-04-29,ITAPIRANGA,14,POINT (-53.711674144548695 -27.112222405376688)
8171,2018-04-29,GUARAMIRIM,1,POINT (-48.94488242157447 -26.47655093499799)
8172,2018-04-29,GUARACIABA,4,POINT (-53.571076311226726 -26.580105565442395)
8173,2018-04-29,GASPAR,1,POINT (-48.96603277755912 -26.931342854989225)
8174,2018-04-29,GALVÃO,4,POINT (-52.65901067461307 -26.449409440681887)
8175,2018-04-29,FORMOSA DO SUL,2,POINT (-52.79378914566691 -26.634189292444557)
8176,2018-04-29,FLORIANÓPOLIS,19,POINT (-48.50819805014117 -27.577833913876493)
8177,2018-04-29,GUARUJÁ DO SUL,18,POINT (-53.484020658272556 -26.39833636190546)
8178,2018-04-29,FLOR DO SERTÃO,1,POINT (-53.33734229657069 -26.76378082164953)
8179,2018-05-06,SAUDADES,1,POINT (-53.04001442530173 -26.89720679402398)
8180,2018-05-06,SANTIAGO DO SUL,1,POINT (-52.69731235564567 -26.63087442406839)
8181,2018-05-06,RIQUEZA,6,POINT (-53.34435192618812 -26.978455061099254)
8182,2018-05-06,RIO DO SUL,1,POINT (-49.62995257034289 -27.196050867028834)
8183,2018-05-06,QUILOMBO,5,POINT (-52.71798207770491 -26.729236446637557)
8184,2018-05-06,PORTO BELO,9,POINT (-48.61643450369326 -27.174795882021932)
8185,2018-05-06,PORTO UNIÃO,2,POINT (-51.00778459817214 -26.38362840601625)
8186,2018-05-06,PENHA,1,POINT (-48.650764520912794 -26.807759800934015)
8187,2018-05-06,PASSO DE TORRES,1,POINT (-49.72193226710953 -29.267247532606632)
8188,2018-05-06,SEARA,1,POINT (-52.34069428230799 -27.147832610525413)
8189,2018-05-06,PALMITOS,17,POINT (-53.179829065049795 -27.09262173445292)
8190,2018-05-06,PRINCESA,2,POINT (-53.611775698473636 -26.432945074493837)
8191,2018-05-06,SOMBRIO,1,POINT (-49.6559270933593 -29.070190675497283)
8192,2018-05-06,TUNÁPOLIS,1,POINT (-53.64994894871563 -26.988116577060975)
8193,2018-05-06,SÃO DOMINGOS,3,POINT (-52.55460248576241 -26.53938727845183)
8194,2018-05-06,SÃO JOSÉ,21,POINT (-48.65625577254402 -27.57847109713233)
8195,2018-05-06,SÃO JOSÉ DO CEDRO,1,POINT (-53.53373642407425 -26.48085134039229)
8196,2018-05-06,SÃO MIGUEL DA BOA VISTA,2,POINT (-53.23996170119908 -26.689643491003483)
8197,2018-05-06,SÃO MIGUEL DO OESTE,3,POINT (-53.51212123092325 -26.727236944731406)
8198,2018-05-06,TIGRINHOS,1,POINT (-53.15654614606529 -26.676066622551186)
8199,2018-05-06,TUBARÃO,1,POINT (-49.03724862155106 -28.48158146246524)
8200,2018-05-06,UNIÃO DO OESTE,1,POINT (-52.85600990552198 -26.786666327181376)
8201,2018-05-06,XANXERÊ,6,POINT (-52.409753977893864 -26.87227935615384)
8202,2018-05-06,XAXIM,2,POINT (-52.52910542362624 -26.97030880074372)
8203,2018-05-06,ÁGUAS DE CHAPECÓ,2,POINT (-52.95673527930452 -27.054386024452793)
8204,2018-05-06,PALHOÇA,2,POINT (-48.66170819531588 -27.77182146966105)
8205,2018-05-06,SÃO CARLOS,1,POINT (-53.03141183563582 -27.030109233268377)
8206,2018-05-06,NOVA ITABERABA,8,POINT (-52.83316646064405 -26.961141868867955)
8207,2018-05-06,MONDAÍ,1,POINT (-53.44649707854179 -27.09929258522074)
8208,2018-05-06,BIGUAÇU,2,POINT (-48.69394689806006 -27.433529852830816)
8209,2018-05-06,NAVEGANTES,5,POINT (-48.72739585880501 -26.82874286660231)
8210,2018-05-06,ANCHIETA,1,POINT (-53.33310864178267 -26.532948184400585)
8211,2018-05-06,ARAQUARI,4,POINT (-48.75777734611065 -26.461708089601323)
8212,2018-05-06,BALNEÁRIO CAMBORIÚ,35,POINT (-48.62174059290786 -27.004736811989282)
8213,2018-05-06,BALNEÁRIO GAIVOTA,2,POINT (-49.61536798375303 -29.153516044807805)
8214,2018-05-06,BALNEÁRIO PIÇARRAS,1,POINT (-48.733290126728555 -26.759491595089575)
8215,2018-05-06,BLUMENAU,3,POINT (-49.09730924738388 -26.885766673711007)
8216,2018-05-06,BRUSQUE,4,POINT (-48.90974338759385 -27.125000077860673)
8217,2018-05-06,CAIBI,3,POINT (-53.26305757870258 -27.025175523184227)
8218,2018-05-06,CAMBORIÚ,3,POINT (-48.70898929280387 -27.070938703807666)
8219,2018-05-06,CORONEL FREITAS,6,POINT (-52.72505203540188 -26.883161405516894)
8220,2018-05-06,CRICIÚMA,1,POINT (-49.379715593390806 -28.715695317599724)
8221,2018-05-06,CUNHATAÍ,5,POINT (-53.10087034298753 -26.97508678163015)
8222,2018-05-06,CHAPECÓ,48,POINT (-52.6503387011512 -27.125143757264095)
8223,2018-05-06,FLORIANÓPOLIS,5,POINT (-48.50819805014117 -27.577833913876493)
8224,2018-05-06,MARAVILHA,2,POINT (-53.19811282877847 -26.759973577360107)
8225,2018-05-06,JOINVILLE,11,POINT (-48.95140521079262 -26.244282225607027)
8226,2018-05-06,JARDINÓPOLIS,2,POINT (-52.87130602094494 -26.717195189426306)
8227,2018-05-06,ITAPIRANGA,3,POINT (-53.711674144548695 -27.112222405376688)
8228,2018-05-06,DESCANSO,4,POINT (-53.479300522303596 -26.858413595000634)
8229,2018-05-06,ITAJAÍ,23,POINT (-48.753417164343155 -26.96901297467498)
8230,2018-05-06,ITAPEMA,5,POINT (-48.63442695278928 -27.10858334921313)
8231,2018-05-06,IPUAÇU,2,POINT (-52.47601370371535 -26.6787391439459)
8232,2018-05-06,IMBITUBA,2,POINT (-48.70266299449253 -28.19427352006288)
8233,2018-05-06,HERVAL D'OESTE,1,POINT (-51.41066483184581 -27.195375505195166)
8234,2018-05-06,GASPAR,1,POINT (-48.96603277755912 -26.931342854989225)
8235,2018-05-06,GALVÃO,5,POINT (-52.65901067461307 -26.449409440681887)
8236,2018-05-13,PASSO DE TORRES,7,POINT (-49.72193226710953 -29.267247532606632)
8237,2018-05-13,PORTO BELO,13,POINT (-48.61643450369326 -27.174795882021932)
8238,2018-05-13,PONTE SERRADA,6,POINT (-51.92821372642347 -26.861768575031704)
8239,2018-05-13,PINHALZINHO,6,POINT (-52.97663206995043 -26.829373480377633)
8240,2018-05-13,PENHA,1,POINT (-48.650764520912794 -26.807759800934015)
8241,2018-05-13,PORTO UNIÃO,8,POINT (-51.00778459817214 -26.38362840601625)
8242,2018-05-13,PARAÍSO,1,POINT (-53.67830388048522 -26.662800366381106)
8243,2018-05-13,LAGES,2,POINT (-50.34057306529381 -28.020467334528156)
8244,2018-05-13,PALHOÇA,5,POINT (-48.66170819531588 -27.77182146966105)
8245,2018-05-13,NOVA ITABERABA,2,POINT (-52.83316646064405 -26.961141868867955)
8246,2018-05-13,NOVA ERECHIM,2,POINT (-52.90669278808881 -26.908168558958387)
8247,2018-05-13,NAVEGANTES,30,POINT (-48.72739585880501 -26.82874286660231)
8248,2018-05-13,MONDAÍ,9,POINT (-53.44649707854179 -27.09929258522074)
8249,2018-05-13,MARAVILHA,4,POINT (-53.19811282877847 -26.759973577360107)
8250,2018-05-13,RIQUEZA,3,POINT (-53.34435192618812 -26.978455061099254)
8251,2018-05-13,PALMITOS,14,POINT (-53.179829065049795 -27.09262173445292)
8252,2018-05-13,SAUDADES,2,POINT (-53.04001442530173 -26.89720679402398)
8253,2018-05-13,XANXERÊ,4,POINT (-52.409753977893864 -26.87227935615384)
8254,2018-05-13,SOMBRIO,1,POINT (-49.6559270933593 -29.070190675497283)
8255,2018-05-13,ÁGUAS FRIAS,2,POINT (-52.85231124188476 -26.851638850973643)
8256,2018-05-13,XAXIM,8,POINT (-52.52910542362624 -26.97030880074372)
8257,2018-05-13,XAVANTINA,1,POINT (-52.321889849825574 -27.02121446664788)
8258,2018-05-13,UNIÃO DO OESTE,2,POINT (-52.85600990552198 -26.786666327181376)
8259,2018-05-13,TIGRINHOS,5,POINT (-53.15654614606529 -26.676066622551186)
8260,2018-05-13,SÃO MIGUEL DO OESTE,8,POINT (-53.51212123092325 -26.727236944731406)
8261,2018-05-13,SEARA,17,POINT (-52.34069428230799 -27.147832610525413)
8262,2018-05-13,SÃO MIGUEL DA BOA VISTA,1,POINT (-53.23996170119908 -26.689643491003483)
8263,2018-05-13,SÃO LOURENÇO DO OESTE,7,POINT (-52.859772864625924 -26.465488220200026)
8264,2018-05-13,SÃO JOSÉ DO CEDRO,2,POINT (-53.53373642407425 -26.48085134039229)
8265,2018-05-13,SÃO JOSÉ,32,POINT (-48.65625577254402 -27.57847109713233)
8266,2018-05-13,SÃO DOMINGOS,5,POINT (-52.55460248576241 -26.53938727845183)
8267,2018-05-13,SÃO CARLOS,1,POINT (-53.03141183563582 -27.030109233268377)
8268,2018-05-13,SÃO BENTO DO SUL,1,POINT (-49.34998168331938 -26.294901587995746)
8269,2018-05-13,SÃO LUDGERO,1,POINT (-49.16816231413642 -28.353134609105727)
8270,2018-05-13,JOINVILLE,29,POINT (-48.95140521079262 -26.244282225607027)
8271,2018-05-13,ARARANGUÁ,1,POINT (-49.47117420910179 -28.9422934098757)
8272,2018-05-13,ITAPIRANGA,3,POINT (-53.711674144548695 -27.112222405376688)
8273,2018-05-13,CAXAMBU DO SUL,2,POINT (-52.92021076953631 -27.14671120355529)
8274,2018-05-13,CAMPOS NOVOS,1,POINT (-51.24461188464247 -27.41300179636672)
8275,2018-05-13,CAMPO ERÊ,1,POINT (-53.13029027791252 -26.450418785075478)
8276,2018-05-13,CAMBORIÚ,32,POINT (-48.70898929280387 -27.070938703807666)
8277,2018-05-13,BRUSQUE,10,POINT (-48.90974338759385 -27.125000077860673)
8278,2018-05-13,BOM JESUS,1,POINT (-52.389991137631434 -26.7390418954996)
8279,2018-05-13,CHAPECÓ,13,POINT (-52.6503387011512 -27.125143757264095)
8280,2018-05-13,BLUMENAU,8,POINT (-49.09730924738388 -26.885766673711007)
8281,2018-05-13,BALNEÁRIO PIÇARRAS,3,POINT (-48.733290126728555 -26.759491595089575)
8282,2018-05-13,BALNEÁRIO CAMBORIÚ,32,POINT (-48.62174059290786 -27.004736811989282)
8283,2018-05-13,BALNEÁRIO ARROIO DO SILVA,1,POINT (-49.475056726291164 -29.019465075162362)
8284,2018-05-13,JARAGUÁ DO SUL,2,POINT (-49.159974339900636 -26.481907693524388)
8285,2018-05-13,ARMAZÉM,1,POINT (-49.014677665017096 -28.237880638136094)
8286,2018-05-13,ABELARDO LUZ,2,POINT (-52.25571912306015 -26.562426855567093)
8287,2018-05-13,BIGUAÇU,4,POINT (-48.69394689806006 -27.433529852830816)
8288,2018-05-13,CONCÓRDIA,3,POINT (-52.00738181173657 -27.23912654780915)
8289,2018-05-13,ARVOREDO,1,POINT (-52.44198670964182 -27.07085356427636)
8290,2018-05-13,CORONEL FREITAS,6,POINT (-52.72505203540188 -26.883161405516894)
8291,2018-05-13,CORDILHEIRA ALTA,1,POINT (-52.64165994492363 -26.975707450831653)
8292,2018-05-13,ITAPEMA,40,POINT (-48.63442695278928 -27.10858334921313)
8293,2018-05-13,IPUAÇU,2,POINT (-52.47601370371535 -26.6787391439459)
8294,2018-05-13,IPORÃ DO OESTE,2,POINT (-53.489414418215965 -27.000431634442474)
8295,2018-05-13,INDAIAL,1,POINT (-49.224177687901346 -26.99497938110411)
8296,2018-05-13,GUARUJÁ DO SUL,1,POINT (-53.484020658272556 -26.39833636190546)
8297,2018-05-13,GASPAR,1,POINT (-48.96603277755912 -26.931342854989225)
8298,2018-05-13,ITAJAÍ,18,POINT (-48.753417164343155 -26.96901297467498)
8299,2018-05-13,GALVÃO,3,POINT (-52.65901067461307 -26.449409440681887)
8300,2018-05-13,FORMOSA DO SUL,1,POINT (-52.79378914566691 -26.634189292444557)
8301,2018-05-13,FLORIANÓPOLIS,20,POINT (-48.50819805014117 -27.577833913876493)
8302,2018-05-13,ENTRE RIOS,2,POINT (-52.57836812869868 -26.739709973471363)
8303,2018-05-13,DIONÍSIO CERQUEIRA,6,POINT (-53.533104817609406 -26.329842624688034)
8304,2018-05-13,GARUVA,1,POINT (-48.86732766109188 -26.05711167861282)
8305,2018-05-13,CUNHA PORÃ,4,POINT (-53.19066459516312 -26.879227556402125)
8306,2018-05-20,PORTO BELO,9,POINT (-48.61643450369326 -27.174795882021932)
8307,2018-05-20,PONTE SERRADA,1,POINT (-51.92821372642347 -26.861768575031704)
8308,2018-05-20,PINHALZINHO,1,POINT (-52.97663206995043 -26.829373480377633)
8309,2018-05-20,PASSO DE TORRES,1,POINT (-49.72193226710953 -29.267247532606632)
8310,2018-05-20,PALHOÇA,4,POINT (-48.66170819531588 -27.77182146966105)
8311,2018-05-20,PALMITOS,10,POINT (-53.179829065049795 -27.09262173445292)
8312,2018-05-20,NOVA ITABERABA,3,POINT (-52.83316646064405 -26.961141868867955)
8313,2018-05-20,NOVA ERECHIM,2,POINT (-52.90669278808881 -26.908168558958387)
8314,2018-05-20,NAVEGANTES,18,POINT (-48.72739585880501 -26.82874286660231)
8315,2018-05-20,PORTO UNIÃO,2,POINT (-51.00778459817214 -26.38362840601625)
8316,2018-05-20,PARAÍSO,1,POINT (-53.67830388048522 -26.662800366381106)
8317,2018-05-20,QUILOMBO,1,POINT (-52.71798207770491 -26.729236446637557)
8318,2018-05-20,TIGRINHOS,2,POINT (-53.15654614606529 -26.676066622551186)
8319,2018-05-20,SEARA,8,POINT (-52.34069428230799 -27.147832610525413)
8320,2018-05-20,SÃO BENTO DO SUL,1,POINT (-49.34998168331938 -26.294901587995746)
8321,2018-05-20,SÃO DOMINGOS,2,POINT (-52.55460248576241 -26.53938727845183)
8322,2018-05-20,SÃO JOSÉ DO CEDRO,1,POINT (-53.53373642407425 -26.48085134039229)
8323,2018-05-20,SÃO LOURENÇO DO OESTE,1,POINT (-52.859772864625924 -26.465488220200026)
8324,2018-05-20,SÃO MIGUEL DO OESTE,6,POINT (-53.51212123092325 -26.727236944731406)
8325,2018-05-20,UNIÃO DO OESTE,1,POINT (-52.85600990552198 -26.786666327181376)
8326,2018-05-20,XANXERÊ,1,POINT (-52.409753977893864 -26.87227935615384)
8327,2018-05-20,XAVANTINA,17,POINT (-52.321889849825574 -27.02121446664788)
8328,2018-05-20,XAXIM,7,POINT (-52.52910542362624 -26.97030880074372)
8329,2018-05-20,ÁGUAS DE CHAPECÓ,1,POINT (-52.95673527930452 -27.054386024452793)
8330,2018-05-20,MONDAÍ,2,POINT (-53.44649707854179 -27.09929258522074)
8331,2018-05-20,SAUDADES,1,POINT (-53.04001442530173 -26.89720679402398)
8332,2018-05-20,MODELO,1,POINT (-53.05109629093748 -26.77477746640045)
8333,2018-05-20,MARAVILHA,3,POINT (-53.19811282877847 -26.759973577360107)
8334,2018-05-20,JUPIÁ,1,POINT (-52.720920059617036 -26.394105628089882)
8335,2018-05-20,ANCHIETA,1,POINT (-53.33310864178267 -26.532948184400585)
8336,2018-05-20,ARAQUARI,1,POINT (-48.75777734611065 -26.461708089601323)
8337,2018-05-20,BALNEÁRIO CAMBORIÚ,29,POINT (-48.62174059290786 -27.004736811989282)
8338,2018-05-20,BALNEÁRIO PIÇARRAS,1,POINT (-48.733290126728555 -26.759491595089575)
8339,2018-05-20,BIGUAÇU,2,POINT (-48.69394689806006 -27.433529852830816)
