,Semana,Município,Focos,ponto
71,2012-03-04,BOMBINHAS,1,POINT (-48.51748707787348 -27.17325633187103)
72,2012-03-04,BLUMENAU,2,POINT (-49.09730924738388 -26.885766673711007)
73,2012-03-04,ARARANGUÁ,1,POINT (-49.47117420910179 -28.9422934098757)
74,2012-03-04,FLORIANÓPOLIS,2,POINT (-48.50819805014117 -27.577833913876493)
75,2012-03-11,TIJUCAS,1,POINT (-48.70088637061579 -27.247563296595885)
76,2012-03-11,SÃO MIGUEL DO OESTE,10,POINT (-53.51212123092325 -26.727236944731406)
77,2012-03-11,SÃO JOSÉ,5,POINT (-48.65625577254402 -27.57847109713233)
78,2012-03-11,SOMBRIO,1,POINT (-49.6559270933593 -29.070190675497283)
79,2012-03-11,SIDERÓPOLIS,1,POINT (-49.526695700067904 -28.58327160078786)
80,2012-03-11,RIO DO SUL,1,POINT (-49.62995257034289 -27.196050867028834)
81,2012-03-11,PORTO UNIÃO,1,POINT (-51.00778459817214 -26.38362840601625)
82,2012-03-11,JOINVILLE,4,POINT (-48.95140521079262 -26.244282225607027)
83,2012-03-11,FLORIANÓPOLIS,1,POINT (-48.50819805014117 -27.577833913876493)
84,2012-03-11,CHAPECÓ,43,POINT (-52.6503387011512 -27.125143757264095)
85,2012-03-11,CAPIVARI DE BAIXO,2,POINT (-48.94338454298476 -28.455563833138978)
86,2012-03-11,BOMBINHAS,1,POINT (-48.51748707787348 -27.17325633187103)
87,2012-03-11,BLUMENAU,1,POINT (-49.09730924738388 -26.885766673711007)
88,2012-03-11,BENEDITO NOVO,1,POINT (-49.43539636534986 -26.80094023363729)
89,2012-03-11,BARRA VELHA,1,POINT (-48.72738559449102 -26.662440609824166)
90,2012-03-11,CONCÓRDIA,5,POINT (-52.00738181173657 -27.23912654780915)
91,2012-03-18,MASSARANDUBA,1,POINT (-48.98819178964745 -26.626911300757143)
92,2012-03-18,SÃO MIGUEL DO OESTE,6,POINT (-53.51212123092325 -26.727236944731406)
93,2012-03-18,SÃO JOSÉ DO CEDRO,1,POINT (-53.53373642407425 -26.48085134039229)
94,2012-03-18,RIO DO SUL,1,POINT (-49.62995257034289 -27.196050867028834)
95,2012-03-18,LAURENTINO,1,POINT (-49.73361403099963 -27.20798229696701)
96,2012-03-18,SÃO JOSÉ,2,POINT (-48.65625577254402 -27.57847109713233)
97,2012-03-18,FLORIANÓPOLIS,1,POINT (-48.50819805014117 -27.577833913876493)
98,2012-03-18,CONCÓRDIA,1,POINT (-52.00738181173657 -27.23912654780915)
99,2012-03-18,CHAPECÓ,51,POINT (-52.6503387011512 -27.125143757264095)
100,2012-03-18,JOINVILLE,2,POINT (-48.95140521079262 -26.244282225607027)
101,2012-03-18,BLUMENAU,2,POINT (-49.09730924738388 -26.885766673711007)
102,2012-03-18,BARRA VELHA,1,POINT (-48.72738559449102 -26.662440609824166)
103,2012-03-25,XANXERÊ,1,POINT (-52.409753977893864 -26.87227935615384)
104,2012-03-25,TUBARÃO,1,POINT (-49.03724862155106 -28.48158146246524)
105,2012-03-25,TIJUCAS,2,POINT (-48.70088637061579 -27.247563296595885)
106,2012-03-25,SÃO MIGUEL DO OESTE,5,POINT (-53.51212123092325 -26.727236944731406)
107,2012-03-25,SÃO FRANCISCO DO SUL,2,POINT (-48.64031938386047 -26.26159673750705)
108,2012-03-25,PORTO UNIÃO,1,POINT (-51.00778459817214 -26.38362840601625)
109,2012-03-25,JOINVILLE,5,POINT (-48.95140521079262 -26.244282225607027)
110,2012-03-25,FLORIANÓPOLIS,5,POINT (-48.50819805014117 -27.577833913876493)
111,2012-03-25,CHAPECÓ,33,POINT (-52.6503387011512 -27.125143757264095)
112,2012-03-25,CANOINHAS,1,POINT (-50.53337070155689 -26.249950005908698)
113,2012-03-25,BLUMENAU,1,POINT (-49.09730924738388 -26.885766673711007)
114,2012-03-25,BIGUAÇU,1,POINT (-48.69394689806006 -27.433529852830816)
115,2012-03-25,APIÚNA,1,POINT (-49.364244600271256 -27.124502359730975)
116,2012-03-25,JARAGUÁ DO SUL,3,POINT (-49.159974339900636 -26.481907693524388)
117,2012-04-01,PINHALZINHO,14,POINT (-52.97663206995043 -26.829373480377633)
