Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 02/07/2022 a 31/12/2022,,,,,,
Atualizado em 27/06/2023,,,,,,
Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Nº Foco
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291393/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291392/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291389/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291388/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291387/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 291386/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 291385/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291384/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 291380/22
São José,BIGUAÇU,Comércio,ARM - Armadilha,Armadilha,29/12/2022,ARM 291379/22
Araranguá,SOMBRIO,Residência,B - Pequenos depósitos móveis,Investigação de Denúncia,29/12/2022,ID 291262/22
Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,26/12/2022,ARM 291181/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 291180/22
Itajaí,ITAPEMA,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 291179/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 291178/22
Itajaí,ITAPEMA,Residência,ARM - Armadilha,Armadilha,27/12/2022,ARM 291177/22
Itajaí,ITAPEMA,Residência,ARM - Armadilha,Armadilha,27/12/2022,ARM 291176/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291175/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291173/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 291172/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 291171/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 291168/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 291166/22
Itajaí,ITAPEMA,Residência,ARM - Armadilha,Armadilha,28/12/2022,ARM 291164/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291157/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291135/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 291131/22
Itajaí,ITAPEMA,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 291127/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 291124/22
Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,28/12/2022,ARM 291122/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 291118/22
Itajaí,ITAPEMA,Residência,ARM - Armadilha,Armadilha,27/12/2022,ARM 291109/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291108/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291106/22
Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,27/12/2022,ARM 291105/22
Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,27/12/2022,ARM 291104/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291103/22
Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,26/12/2022,ARM 291101/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 291100/22
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 291099/22
Itajaí,ITAPEMA,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 291098/22
Xanxerê,XANXERÊ,Residência,ARM - Armadilha,Armadilha,30/12/2022,ARM 291091/22
Xanxerê,XANXERÊ,Residência,ARM - Armadilha,Armadilha,30/12/2022,ARM 291090/22
Itajaí,NAVEGANTES,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,28/12/2022,PE 291081/22
Rio do Sul,TROMBUDO CENTRAL,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291038/22
Rio do Sul,TROMBUDO CENTRAL,Comércio,ARM - Armadilha,Armadilha,27/12/2022,ARM 291037/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290999/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290997/22
Blumenau,POMERODE,Comércio,ARM - Armadilha,Armadilha,28/12/2022,ARM 290996/22
Blumenau,POMERODE,Residência,ARM - Armadilha,Armadilha,30/12/2022,ARM 290994/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290987/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290982/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290979/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290975/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290974/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290973/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290972/22
Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2022,ARM 290969/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290967/22
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,26/12/2022,ARM 290966/22
