Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,,
Período: de 01/08/2024 a 31/12/2024,,,,,,,,,,,,,,
Atualizado em 29/04/2025,,,,,,,,,,,,,,
Nº Foco,Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 437270/24,São Miguel do Oeste,MARAVILHA,NOVO BAIRRO,Residência,ARM - Armadilha,Armadilha,30/12/2024,09/01/2025,09/01/2025,9,0,0,0,0
ARM 437269/24,São Miguel do Oeste,MARAVILHA,TOPE DA SERRA,Residência,ARM - Armadilha,Armadilha,30/12/2024,09/01/2025,09/01/2025,10,0,0,0,0
ARM 437268/24,São Miguel do Oeste,MARAVILHA,JOSÉ DE ANCHIETA,Residência,ARM - Armadilha,Armadilha,30/12/2024,09/01/2025,09/01/2025,10,0,0,0,0
ARM 437267/24,São Miguel do Oeste,MARAVILHA,INDUSTRIAL,Comércio,ARM - Armadilha,Armadilha,30/12/2024,09/01/2025,09/01/2025,10,0,0,0,0
ARM 437265/24,Xanxerê,JUPIÁ,CENTRO,Residência,ARM - Armadilha,Armadilha,23/12/2024,09/01/2025,09/01/2025,10,0,0,0,0
ARM 437264/24,Xanxerê,JUPIÁ,CENTRO,Residência,ARM - Armadilha,Armadilha,23/12/2024,09/01/2025,09/01/2025,10,0,0,0,0
PE 437055/24,Itajaí,ITAPEMA,MEIA PRAIA,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,30/12/2024,03/01/2025,03/01/2025,10,0,0,0,0
PE 437054/24,Itajaí,ITAPEMA,MEIA PRAIA,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,30/12/2024,03/01/2025,03/01/2025,3,0,0,0,0
PE 437053/24,Itajaí,ITAPEMA,MEIA PRAIA,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,30/12/2024,03/01/2025,03/01/2025,10,0,0,0,0
ARM 437050/24,Itajaí,ITAPEMA,JARDIM PRAIAMAR,Outros,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,1,0,0,0,0
ARM 437049/24,Itajaí,ITAPEMA,JARDIM PRAIAMAR,Outros,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,7,0,0,0,0
ARM 437043/24,Itajaí,ITAPEMA,MORRETES,Comércio,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,5,0,0,0,0
ARM 437042/24,Itajaí,ITAPEMA,MORRETES,Outros,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,7,0,0,0,0
ARM 437041/24,Itajaí,ITAPEMA,MORRETES,Comércio,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,2,0,0,0,0
ARM 437040/24,Itajaí,ITAPEMA,MORRETES,Outros,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,5,0,0,0,0
ARM 437039/24,Itajaí,ITAPEMA,MORRETES,Comércio,ARM - Armadilha,Armadilha,30/12/2024,03/01/2025,03/01/2025,4,0,0,0,0
null 437038/24,Itajaí,ITAPEMA,CENTRO ,Outros,ARM - Armadilha,,30/12/2024,03/01/2025,03/01/2025,6,0,0,0,0
ARM 437026/24,São Miguel do Oeste,IRACEMINHA,LOTEAMENTO DE CARLI,Outros,ARM - Armadilha,Armadilha,30/12/2024,08/01/2025,08/01/2025,21,0,0,0,0
ARM 437024/24,São Miguel do Oeste,IRACEMINHA,LOTEAMENTO VIVIAN,Residência,ARM - Armadilha,Armadilha,30/12/2024,08/01/2025,08/01/2025,79,0,0,0,0
PE 436952/24,Xanxerê,ABELARDO LUZ,CENTRO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,19/12/2024,08/01/2025,08/01/2025,7,0,0,0,0
PE 436950/24,Xanxerê,ABELARDO LUZ,BEIRA RIO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,19/12/2024,08/01/2025,08/01/2025,3,0,0,0,0
PE 436948/24,Xanxerê,ABELARDO LUZ,BEIRA RIO,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,19/12/2024,08/01/2025,08/01/2025,3,0,0,0,0
ARM 436942/24,Xanxerê,BOM JESUS,CENTRO,Comércio,ARM - Armadilha,Armadilha,27/12/2024,08/01/2025,08/01/2025,4,0,0,0,0
ARM 436938/24,Xanxerê,BOM JESUS,CENTRO,Residência,ARM - Armadilha,Armadilha,27/12/2024,08/01/2025,08/01/2025,103,0,0,0,0
ARM 436936/24,Xanxerê,BOM JESUS,CENTRO,Outros,ARM - Armadilha,Armadilha,27/12/2024,08/01/2025,08/01/2025,8,0,0,0,0
ARM 436934/24,Xanxerê,BOM JESUS,CENTRO,Outros,ARM - Armadilha,Armadilha,27/12/2024,08/01/2025,08/01/2025,48,0,0,0,0
ARM 436932/24,Xanxerê,XAXIM,BAIRRO ALVORADA,Residência,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/01/2025,19,0,0,0,0
ARM 436931/24,Xanxerê,XAXIM,LOTEAMENTO MONTREAL,Comércio,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/01/2025,9,0,0,0,0
ARM 436930/24,Xanxerê,XAXIM,FLORINDO FOLLE,Comércio,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/01/2025,28,0,0,0,0
ARM 436929/24,Xanxerê,XAXIM,GUARANI,Comércio,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/01/2025,37,0,0,0,0
ARM 436919/24,Xanxerê,XAXIM,SERGIO DAVI,Comércio,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/10/2024,13,0,0,0,0
ARM 436917/24,Xanxerê,XAXIM,CENTRO,Outros,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/01/2025,4,0,0,0,0
ARM 436910/24,Xanxerê,XAXIM,SANTA TERESINHA,Comércio,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/01/2025,20,0,0,0,0
ARM 436909/24,Xanxerê,XAXIM,SANTA TERESINHA,Comércio,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/01/2025,22,0,0,0,0
ID 436898/24,São José,FLORIANÓPOLIS,ITACORUBI,Residência,D1 - Pneus e outros materiais rodantes,Investigação de Denúncia,31/12/2024,08/01/2025,08/01/2025,10,0,0,0,0
ARM 436852/24,Xanxerê,CAMPO ERÊ,CENTRO,Comércio,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/01/2025,10,0,0,0,0
ARM 436851/24,Xanxerê,CAMPO ERÊ,CENTRO,Residência,ARM - Armadilha,Armadilha,23/12/2024,08/01/2025,08/01/2025,10,0,0,0,0
