Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,
Período: de 01/01/2014 a 31/12/2014,,,,,
Atualizado em 26/05/2023,,,,,
Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Residência,ARM - Armadilha,,19/02/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,Armadilha,03/12/2014
Chapecó,CUNHA PORÃ,Comércio,ARM - Armadilha,Armadilha,29/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,10/02/2014
Blumenau,INDAIAL,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,17/12/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Comércio,B - Pequenos depósitos móveis,,26/04/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,13/03/2014
Chapecó,CHAPECÓ,Outros,ARM - Armadilha,,20/03/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,11/02/2014
Jaraguá do Sul,SÃO JOÃO DO ITAPERIÚ,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,17/12/2014
Itajaí,ITAPEMA,Residência,B - Pequenos depósitos móveis,,09/04/2014
Chapecó,PALMITOS,Residência,B - Pequenos depósitos móveis,LIRAa,03/12/2014
Chapecó,CHAPECÓ,Residência,ARM - Armadilha,,31/03/2014
Chapecó,CHAPECÓ,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,12/05/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,12/02/2014
Joaçaba,JOAÇABA,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,12/12/2014
Jaraguá do Sul,JARAGUÁ DO SUL,Residência,ARM - Armadilha,Armadilha,22/12/2014
Itajaí,ITAPEMA,Comércio,ARM - Armadilha,,21/01/2014
Chapecó,CHAPECÓ,Outros,B - Pequenos depósitos móveis,LIRAa,20/10/2014
São José,PAULO LOPES,Comércio,ARM - Armadilha,Armadilha,29/12/2014
Criciúma,FORQUILHINHA,Residência,ARM - Armadilha,Armadilha,08/12/2014
Xanxerê,XAXIM,Residência,D1 - Pneus e outros materiais rodantes,,03/04/2014
Chapecó,CHAPECÓ,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,12/05/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,13/02/2014
Tubarão,TUBARÃO,Comércio,ARM - Armadilha,,19/05/2014
Blumenau,INDAIAL,Ponto Estratégico,ARM - Armadilha,,10/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,19/03/2014
Itajaí,ITAJAÍ,Residência,D1 - Pneus e outros materiais rodantes,Pesquisa Vetorial Especial,19/12/2014
Araranguá,ARARANGUÁ,Comércio,ARM - Armadilha,,21/01/2014
Mafra,SÃO BENTO DO SUL,Comércio,ARM - Armadilha,,10/03/2014
São Miguel do Oeste,DIONÍSIO CERQUEIRA,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,25/11/2014
Jaraguá do Sul,MASSARANDUBA,Comércio,ARM - Armadilha,Armadilha,16/12/2014
Xanxerê,XANXERÊ,Comércio,ARM - Armadilha,Armadilha,08/12/2014
Xanxerê,SÃO LOURENÇO DO OESTE,Outros,ARM - Armadilha,Armadilha,15/12/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,13/02/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Comércio,ARM - Armadilha,,22/05/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Ponto Estratégico,ARM - Armadilha,,25/03/2014
Rio do Sul,RIO DO SUL,Residência,D1 - Pneus e outros materiais rodantes,,25/04/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,14/03/2014
Itajaí,ITAJAÍ,Outros,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,16/12/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,19/02/2014
Chapecó,PINHALZINHO,Residência,ARM - Armadilha,,03/01/2014
Chapecó,CHAPECÓ,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,29/04/2014
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,,29/08/2014
Chapecó,CHAPECÓ,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,14/05/2014
São José,GOVERNADOR CELSO RAMOS,Ponto Estratégico,ARM - Armadilha,,17/02/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Residência,C - Depósitos Fixos,,14/01/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,14/04/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,Armadilha,15/12/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,30/01/2014
Jaraguá do Sul,SÃO JOÃO DO ITAPERIÚ,Comércio,ARM - Armadilha,Armadilha,20/10/2014
Chapecó,PALMITOS,Outros,B - Pequenos depósitos móveis,LIRAa,10/12/2014
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,29/12/2014
São José,FLORIANÓPOLIS,Ponto Estratégico,ARM - Armadilha,,12/06/2014
Joaçaba,JOAÇABA,Residência,ARM - Armadilha,Armadilha,30/12/2014
Xanxerê,XAXIM,Residência,D1 - Pneus e outros materiais rodantes,,30/05/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,25/02/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,10/04/2014
Joinville,JOINVILLE,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,17/04/2014
Chapecó,CHAPECÓ,Ponto Estratégico,A1 - Caixa d'agua (elevado),,31/03/2014
Xanxerê,XANXERÊ,Residência,D1 - Pneus e outros materiais rodantes,,08/05/2014
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,08/12/2014
Chapecó,PINHALZINHO,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,04/02/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,25/03/2014
Criciúma,COCAL DO SUL,Residência,ARM - Armadilha,Armadilha,10/12/2014
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,29/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,17/07/2014
Itajaí,PENHA,Residência,ARM - Armadilha,Armadilha,29/12/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,15/01/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,09/04/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,01/04/2014
Chapecó,CORONEL FREITAS,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,13/05/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,28/03/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,23/01/2014
Itajaí,ITAJAÍ,Residência,A2 - Outros depósitos de armazenamento de água,Delimitação de Foco,07/07/2014
Chapecó,CHAPECÓ,Outros,A2 - Outros depósitos de armazenamento de água,LIRAa,16/01/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Ponto Estratégico,B - Pequenos depósitos móveis,,24/04/2014
Joaçaba,JOAÇABA,Comércio,ARM - Armadilha,Armadilha,18/12/2014
Joinville,JOINVILLE,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,16/12/2014
Joaçaba,JOAÇABA,Outros,ARM - Armadilha,Armadilha,30/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,Armadilha,04/11/2014
Concórdia,CONCÓRDIA,Residência,ARM - Armadilha,Armadilha,30/12/2014
Itajaí,ITAPEMA,Residência,ARM - Armadilha,,21/07/2014
Chapecó,CHAPECÓ,Outros,ARM - Armadilha,,06/02/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,29/04/2014
Chapecó,CHAPECÓ,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,17/03/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Residência,ARM - Armadilha,,22/05/2014
Blumenau,TIMBÓ,Comércio,ARM - Armadilha,,15/12/2014
Concórdia,CONCÓRDIA,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,07/04/2014
Blumenau,GASPAR,Residência,ARM - Armadilha,,16/12/2014
Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,30/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,Armadilha,12/11/2014
Jaraguá do Sul,CORUPÁ,Residência,ARM - Armadilha,Armadilha,22/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,31/01/2014
Chapecó,CHAPECÓ,Outros,B - Pequenos depósitos móveis,LIRAa,18/03/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,08/04/2014
Blumenau,BLUMENAU,Ponto Estratégico,ARM - Armadilha,,26/02/2014
Chapecó,PINHALZINHO,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,04/02/2014
Itajaí,ITAJAÍ,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,03/10/2014
Itajaí,ITAPEMA,Residência,C - Depósitos Fixos,,14/03/2014
Xanxerê,XANXERÊ,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,20/05/2014
Jaraguá do Sul,JARAGUÁ DO SUL,Comércio,ARM - Armadilha,Armadilha,22/12/2014
Blumenau,GASPAR,Residência,ARM - Armadilha,,17/12/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Residência,ARM - Armadilha,,14/02/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Ponto Estratégico,ARM - Armadilha,Armadilha,01/12/2014
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,30/12/2014
Chapecó,CHAPECÓ,Residência,ARM - Armadilha,Armadilha,29/10/2014
Chapecó,CORONEL FREITAS,Residência,A2 - Outros depósitos de armazenamento de água,,24/03/2014
Chapecó,CHAPECÓ,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,17/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,23/05/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Comércio,E - Depósitos naturais,,23/04/2014
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,18/12/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Ponto Estratégico,C - Depósitos Fixos,,12/03/2014
Chapecó,CHAPECÓ,Outros,B - Pequenos depósitos móveis,LIRAa,20/03/2014
Criciúma,COCAL DO SUL,Residência,ARM - Armadilha,Armadilha,18/12/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Residência,ARM - Armadilha,,20/02/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Ponto Estratégico,E - Depósitos naturais,Ponto Estratégico,03/12/2014
Itajaí,PENHA,Comércio,ARM - Armadilha,Armadilha,29/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,10/02/2014
Blumenau,BENEDITO NOVO,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,15/12/2014
Joinville,JOINVILLE,Comércio,ARM - Armadilha,,29/04/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,14/03/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Outros,B - Pequenos depósitos móveis,,27/03/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,12/02/2014
Joinville,JOINVILLE,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,08/12/2014
Chapecó,CHAPECÓ,Residência,A2 - Outros depósitos de armazenamento de água,,28/03/2014
Chapecó,CHAPECÓ,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",LIRAa,12/05/2014
Blumenau,BLUMENAU,Ponto Estratégico,ARM - Armadilha,,17/02/2014
Itajaí,CAMBORIÚ,Ponto Estratégico,ARM - Armadilha,Armadilha,01/12/2014
Jaraguá do Sul,JARAGUÁ DO SUL,Residência,ARM - Armadilha,Armadilha,22/12/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,21/01/2014
Chapecó,CHAPECÓ,Outros,D1 - Pneus e outros materiais rodantes,LIRAa,22/10/2014
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,30/12/2014
Xanxerê,XAXIM,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,29/05/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Residência,ARM - Armadilha,,04/04/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,Armadilha,02/12/2014
Jaraguá do Sul,JARAGUÁ DO SUL,Ponto Estratégico,ARM - Armadilha,Armadilha,29/12/2014
Chapecó,CHAPECÓ,Outros,B - Pequenos depósitos móveis,LIRAa,12/05/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,17/02/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,19/05/2014
Blumenau,INDAIAL,Ponto Estratégico,ARM - Armadilha,,10/12/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,19/03/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Residência,ARM - Armadilha,,25/04/2014
Itajaí,PORTO BELO,Residência,ARM - Armadilha,Armadilha,29/12/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,22/01/2014
São José,FLORIANÓPOLIS,Comércio,ARM - Armadilha,,11/03/2014
Chapecó,CUNHA PORÃ,Outros,B - Pequenos depósitos móveis,LIRAa,26/11/2014
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,15/12/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,Armadilha,05/12/2014
Itajaí,PENHA,Outros,ARM - Armadilha,Armadilha,10/12/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,17/02/2014
Joinville,JOINVILLE,Comércio,ARM - Armadilha,,26/05/2014
Xanxerê,XANXERÊ,Residência,D1 - Pneus e outros materiais rodantes,,28/04/2014
Blumenau,BRUSQUE,Comércio,ARM - Armadilha,,17/03/2014
Xanxerê,XAXIM,Comércio,ARM - Armadilha,,19/02/2014
Chapecó,PINHALZINHO,Residência,A2 - Outros depósitos de armazenamento de água,,07/01/2014
Itajaí,ITAJAÍ,Comércio,ARM - Armadilha,Armadilha,09/09/2014
Chapecó,CHAPECÓ,Outros,A2 - Outros depósitos de armazenamento de água,LIRAa,14/05/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,24/02/2014
Joinville,JOINVILLE,Residência,D1 - Pneus e outros materiais rodantes,,14/01/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,14/04/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,27/03/2014
Tubarão,IMARUÍ,Comércio,ARM - Armadilha,Armadilha,09/12/2014
São José,TIJUCAS,Comércio,ARM - Armadilha,,30/01/2014
Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,23/10/2014
Chapecó,PALMITOS,Outros,B - Pequenos depósitos móveis,LIRAa,10/12/2014
Jaraguá do Sul,GUARAMIRIM,Comércio,ARM - Armadilha,Armadilha,29/12/2014
São José,SÃO JOSÉ,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,20/06/2014
Joinville,ITAPOÁ,Residência,ARM - Armadilha,Armadilha,30/12/2014
Xanxerê,XAXIM,Residência,D1 - Pneus e outros materiais rodantes,,30/05/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Ponto Estratégico,ARM - Armadilha,,25/02/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,10/04/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,16/04/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,01/04/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,08/05/2014
Itajaí,CAMBORIÚ,Comércio,ARM - Armadilha,Armadilha,15/12/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,04/02/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,27/03/2014
Criciúma,FORQUILHINHA,Residência,ARM - Armadilha,Armadilha,15/12/2014
Itajaí,BALNEÁRIO PIÇARRAS,Comércio,ARM - Armadilha,Armadilha,29/12/2014
Itajaí,BALNEÁRIO CAMBORIÚ,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,,04/08/2014
Joaçaba,HERVAL D`OESTE,Residência,ARM - Armadilha,Armadilha,23/12/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,15/01/2014
Chapecó,CHAPECÓ,Ponto Estratégico,ARM - Armadilha,,10/04/2014
Xanxerê,XAXIM,Residência,A2 - Outros depósitos de armazenamento de água,,13/05/2014
Chapecó,CHAPECÓ,Comércio,ARM - Armadilha,,31/03/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Ponto Estratégico,ARM - Armadilha,,27/01/2014
São Miguel do Oeste,SÃO MIGUEL DO OESTE,Residência,ARM - Armadilha,,10/07/2014
Chapecó,CHAPECÓ,Outros,ARM - Armadilha,LIRAa,15/01/2014
