Semana,Município,Casos
2017-03-19,ABDON BATISTA,0
2017-03-26,ABDON BATISTA,0
2017-04-02,ABDON BATISTA,0
2017-04-09,ABDON BATISTA,0
2017-04-16,ABDON BATISTA,0
2017-04-23,ABDON BATISTA,0
2017-04-30,ABDON BATISTA,0
2017-05-07,ABDON BATISTA,0
2017-05-14,ABDON BATISTA,0
2017-05-21,ABDON BATISTA,0
2017-05-28,ABDON BATISTA,0
2017-06-04,ABDON BATISTA,0
2017-06-11,ABDON BATISTA,0
2017-06-18,ABDON BATISTA,0
2017-06-25,ABDON BATISTA,0
2017-07-02,ABDON BATISTA,0
2017-07-09,ABDON BATISTA,0
2017-07-16,ABDON BATISTA,0
2017-07-23,ABDON BATISTA,0
2017-07-30,ABDON BATISTA,0
2017-08-06,ABDON BATISTA,0
2017-08-13,ABDON BATISTA,0
2017-08-20,ABDON BATISTA,0
2017-08-27,ABDON BATISTA,0
2017-09-03,ABDON BATISTA,0
2017-09-10,ABDON BATISTA,0
2017-09-17,ABDON BATISTA,0
2017-09-24,ABDON BATISTA,0
2017-10-01,ABDON BATISTA,0
2017-10-08,ABDON BATISTA,0
2017-10-15,ABDON BATISTA,0
2017-10-22,ABDON BATISTA,0
2017-10-29,ABDON BATISTA,0
2017-11-05,ABDON BATISTA,0
2017-11-12,ABDON BATISTA,0
2017-11-19,ABDON BATISTA,0
2017-11-26,ABDON BATISTA,0
2017-12-03,ABDON BATISTA,0
2017-12-10,ABDON BATISTA,0
2017-12-17,ABDON BATISTA,0
2017-12-24,ABDON BATISTA,0
2017-12-31,ABDON BATISTA,0
2018-01-07,ABDON BATISTA,0
2018-01-14,ABDON BATISTA,0
2018-01-21,ABDON BATISTA,0
2018-01-28,ABDON BATISTA,0
2018-02-04,ABDON BATISTA,0
2018-02-11,ABDON BATISTA,0
2018-02-18,ABDON BATISTA,0
2018-02-25,ABDON BATISTA,0
2018-03-04,ABDON BATISTA,0
2018-03-11,ABDON BATISTA,0
2018-03-18,ABDON BATISTA,0
2018-03-25,ABDON BATISTA,0
2018-04-01,ABDON BATISTA,0
2018-04-08,ABDON BATISTA,0
2018-04-15,ABDON BATISTA,0
2018-04-22,ABDON BATISTA,0
2018-04-29,ABDON BATISTA,0
2018-05-06,ABDON BATISTA,0
2018-05-13,ABDON BATISTA,0
2018-05-20,ABDON BATISTA,0
2018-05-27,ABDON BATISTA,0
2018-06-03,ABDON BATISTA,0
2018-06-10,ABDON BATISTA,0
2018-06-17,ABDON BATISTA,0
2018-06-24,ABDON BATISTA,0
2018-07-01,ABDON BATISTA,0
2018-07-08,ABDON BATISTA,0
2018-07-15,ABDON BATISTA,0
2018-07-22,ABDON BATISTA,0
2018-07-29,ABDON BATISTA,0
2018-08-05,ABDON BATISTA,0
2018-08-12,ABDON BATISTA,0
2018-08-19,ABDON BATISTA,0
2018-08-26,ABDON BATISTA,0
2018-09-02,ABDON BATISTA,0
2018-09-09,ABDON BATISTA,0
2018-09-16,ABDON BATISTA,0
2018-09-23,ABDON BATISTA,0
2018-09-30,ABDON BATISTA,0
2018-10-07,ABDON BATISTA,0
2018-10-14,ABDON BATISTA,0
2018-10-21,ABDON BATISTA,0
2018-10-28,ABDON BATISTA,0
2018-11-04,ABDON BATISTA,0
2018-11-11,ABDON BATISTA,0
2018-11-18,ABDON BATISTA,0
2018-11-25,ABDON BATISTA,0
2018-12-02,ABDON BATISTA,0
2018-12-09,ABDON BATISTA,0
2018-12-16,ABDON BATISTA,0
2018-12-23,ABDON BATISTA,0
2018-12-30,ABDON BATISTA,0
2019-01-06,ABDON BATISTA,0
2019-01-13,ABDON BATISTA,0
2019-01-20,ABDON BATISTA,0
2019-01-27,ABDON BATISTA,0
2019-02-03,ABDON BATISTA,0
2019-02-10,ABDON BATISTA,0
2019-02-17,ABDON BATISTA,0
2019-02-24,ABDON BATISTA,0
2019-03-03,ABDON BATISTA,0
2019-03-10,ABDON BATISTA,0
2019-03-17,ABDON BATISTA,0
2019-03-24,ABDON BATISTA,0
2019-03-31,ABDON BATISTA,0
2019-04-07,ABDON BATISTA,0
2019-04-14,ABDON BATISTA,0
2019-04-21,ABDON BATISTA,0
2019-04-28,ABDON BATISTA,0
2019-05-05,ABDON BATISTA,0
2019-05-12,ABDON BATISTA,0
2019-05-19,ABDON BATISTA,0
2019-05-26,ABDON BATISTA,0
2019-06-02,ABDON BATISTA,0
2019-06-09,ABDON BATISTA,0
2019-06-16,ABDON BATISTA,0
2019-06-23,ABDON BATISTA,0
2019-06-30,ABDON BATISTA,0
2019-07-07,ABDON BATISTA,0
2019-07-14,ABDON BATISTA,0
2019-07-21,ABDON BATISTA,0
2019-07-28,ABDON BATISTA,0
2019-08-04,ABDON BATISTA,0
2019-08-11,ABDON BATISTA,0
2019-08-18,ABDON BATISTA,0
2019-08-25,ABDON BATISTA,0
2019-09-01,ABDON BATISTA,0
2019-09-08,ABDON BATISTA,0
2019-09-15,ABDON BATISTA,0
2019-09-22,ABDON BATISTA,0
2019-09-29,ABDON BATISTA,0
2019-10-06,ABDON BATISTA,0
2019-10-13,ABDON BATISTA,0
2019-10-20,ABDON BATISTA,0
2019-10-27,ABDON BATISTA,0
2019-11-03,ABDON BATISTA,0
2019-11-10,ABDON BATISTA,0
2019-11-17,ABDON BATISTA,0
2019-11-24,ABDON BATISTA,0
2019-12-01,ABDON BATISTA,0
2019-12-08,ABDON BATISTA,0
2019-12-15,ABDON BATISTA,0
2019-12-22,ABDON BATISTA,0
2019-12-29,ABDON BATISTA,0
2020-01-05,ABDON BATISTA,0
2020-01-12,ABDON BATISTA,0
2020-01-19,ABDON BATISTA,0
2020-01-26,ABDON BATISTA,0
2020-02-02,ABDON BATISTA,0
2020-02-09,ABDON BATISTA,0
2020-02-16,ABDON BATISTA,0
2020-02-23,ABDON BATISTA,0
2020-03-01,ABDON BATISTA,0
2020-03-08,ABDON BATISTA,0
2020-03-15,ABDON BATISTA,0
2020-03-22,ABDON BATISTA,0
2020-03-29,ABDON BATISTA,0
2020-04-05,ABDON BATISTA,0
2020-04-12,ABDON BATISTA,0
2020-04-19,ABDON BATISTA,0
2020-04-26,ABDON BATISTA,0
2020-05-03,ABDON BATISTA,0
2020-05-10,ABDON BATISTA,0
2020-05-17,ABDON BATISTA,0
2020-05-24,ABDON BATISTA,0
2020-05-31,ABDON BATISTA,0
2020-06-07,ABDON BATISTA,0
2020-06-14,ABDON BATISTA,0
2020-06-21,ABDON BATISTA,0
2020-06-28,ABDON BATISTA,0
2020-07-05,ABDON BATISTA,0
2020-07-12,ABDON BATISTA,0
2020-07-19,ABDON BATISTA,0
2020-07-26,ABDON BATISTA,0
2020-08-02,ABDON BATISTA,0
2020-08-09,ABDON BATISTA,0
2020-08-16,ABDON BATISTA,0
2020-08-23,ABDON BATISTA,0
2020-08-30,ABDON BATISTA,0
2020-09-06,ABDON BATISTA,0
2020-09-13,ABDON BATISTA,0
2020-09-20,ABDON BATISTA,0
2020-09-27,ABDON BATISTA,0
2020-10-04,ABDON BATISTA,0
2020-10-11,ABDON BATISTA,0
2020-10-18,ABDON BATISTA,0
2020-10-25,ABDON BATISTA,0
2020-11-01,ABDON BATISTA,0
2020-11-08,ABDON BATISTA,0
2020-11-15,ABDON BATISTA,0
2020-11-22,ABDON BATISTA,0
2020-11-29,ABDON BATISTA,0
2020-12-06,ABDON BATISTA,0
2020-12-13,ABDON BATISTA,0
2020-12-20,ABDON BATISTA,0
2020-12-27,ABDON BATISTA,0
2021-01-03,ABDON BATISTA,0
