Semana,Município,Focos,latitude,longitude
2013-04-14,MONDAÍ,1,-27.09929258522074,-53.44649707854179
2013-04-14,NOVA ERECHIM,1,-26.908168558958387,-52.90669278808881
2013-04-28,CAÇADOR,1,-26.76301573603967,-51.08466522606485
2013-05-05,GUARACIABA,2,-26.580105565442395,-53.571076311226726
2013-05-19,ANTÔNIO CARLOS,1,-27.497474227181968,-48.83098179624291
2013-05-26,BELMONTE,2,-26.857082065884523,-53.61806004596434
2013-05-26,QUILOMBO,1,-26.729236446637557,-52.71798207770491
2013-06-02,SÃO LUDGERO,1,-28.353134609105727,-49.16816231413642
2013-06-02,ÁGUAS DE CHAPECÓ,1,-27.054386024452793,-52.95673527930452
2013-06-09,IBIRAMA,1,-27.018150479352176,-49.52854434507853
2013-06-09,ITÁ,1,-27.24401504736772,-52.332158322558705
2013-11-24,ORLEANS,1,-28.27993784715249,-49.37185982502813
2013-12-08,PARAÍSO,1,-26.662800366381106,-53.67830388048522
2013-12-29,RIO DO OESTE,1,-27.158976836165333,-49.84167276904675
2014-01-12,GRAVATAL,1,-28.354019535964735,-49.019524083675094
2014-01-19,IÇARA,5,-28.751615358390502,-49.277346428181566
2014-02-02,GUARUJÁ DO SUL,1,-26.39833636190546,-53.484020658272556
2014-02-16,GOVERNADOR CELSO RAMOS,1,-27.37661650148034,-48.57722959006138
2014-02-16,PASSO DE TORRES,1,-29.267247532606632,-49.72193226710953
2014-02-16,TIMBÓ,1,-26.808191984335508,-49.268848087269895
2014-03-02,VARGEM BONITA,1,-26.944996335664232,-51.7566311514641
2014-03-23,CATANDUVAS,1,-27.04499810338548,-51.696411039929494
2014-03-23,TREZE TÍLIAS,1,-26.964791254360083,-51.44935440560939
2014-04-13,NOVA TRENTO,1,-27.313268123121375,-49.04136677854023
2014-04-13,SERRA ALTA,1,-26.69262092171896,-53.0252384398724
2014-04-13,SÃO CARLOS,1,-27.030109233268377,-53.03141183563582
2014-04-20,CAMPO ERÊ,1,-26.450418785075478,-53.13029027791252
2014-04-20,ENTRE RIOS,1,-26.739709973471363,-52.57836812869868
2014-04-20,SCHROEDER,1,-26.36795231023243,-49.06045571561801
2014-05-04,CUNHA PORÃ,1,-26.879227556402125,-53.19066459516312
2014-05-04,IPUAÇU,3,-26.6787391439459,-52.47601370371535
2014-05-04,PENHA,1,-26.807759800934015,-48.650764520912794
2014-05-11,TRÊS BARRAS,1,-26.16992128272165,-50.255230158464954
2014-05-18,ÁGUAS MORNAS,1,-27.733480951801113,-48.936026935725984
2014-05-25,UNIÃO DO OESTE,3,-26.786666327181376,-52.85600990552198
2014-06-01,SALTINHO,1,-26.590521643011794,-53.02227852519562
2014-10-19,SÃO JOÃO DO ITAPERIÚ,1,-26.59105248462006,-48.79773346422953
2014-11-09,BOM JESUS,2,-26.7390418954996,-52.389991137631434
2014-11-23,CAXAMBU DO SUL,1,-27.14671120355529,-52.92021076953631
2014-11-23,IRATI,3,-26.627592284222846,-52.89009910522137
2014-11-30,CUNHATAÍ,2,-26.97508678163015,-53.10087034298753
2014-11-30,LUZERNA,6,-27.09041292936536,-51.50563310304435
2014-11-30,SUL BRASIL,2,-26.695341808174227,-52.94680043392991
2014-12-07,ARVOREDO,1,-27.07085356427636,-52.44198670964182
2014-12-07,CAPINZAL,2,-27.411939390248456,-51.63081493151491
2014-12-07,FORQUILHINHA,3,-28.78169340856214,-49.49328332774105
2014-12-07,GUABIRUBA,4,-27.103337763844536,-49.02075045567544
2014-12-07,IBICARÉ,1,-27.09247046688953,-51.37004037385883
2014-12-07,OURO,5,-27.283436662769383,-51.68188570460702
2014-12-07,PLANALTO ALEGRE,1,-27.051964045168106,-52.868983175658315
2014-12-07,TREVISO,5,-28.499162004094863,-49.489841195227676
2014-12-14,ARABUTÃ,1,-27.140868080616993,-52.18154485906579
2014-12-14,BALNEÁRIO BARRA DO SUL,8,-26.446419426504228,-48.6525686779991
2014-12-14,BALNEÁRIO RINCÃO,3,-28.8267399540157,-49.25423722484238
2014-12-14,BOTUVERÁ,3,-27.218576097272617,-49.123525799005755
2014-12-14,ILHOTA,7,-26.859040901529745,-48.85735097749987
2014-12-14,JARDINÓPOLIS,1,-26.717195189426306,-52.87130602094494
2014-12-14,LUIZ ALVES,1,-26.72735194701673,-48.89108169124951
2014-12-14,PERITIBA,4,-27.35136072671339,-51.875058999568054
2014-12-14,PESCARIA BRAVA,2,-28.401764026554133,-48.88364248038416
2014-12-14,SEARA,3,-27.147832610525413,-52.34069428230799
2014-12-21,HERVAL D'OESTE,10,-27.195375505195166,-51.41066483184581
2014-12-21,IBIAM,1,-27.208374212872567,-51.21546323270967
2014-12-21,TANGARÁ,1,-27.147028474882347,-51.14706907793429
2014-12-28,SANTA TEREZINHA DO PROGRESSO,2,-26.59274865073079,-53.16992504599359
2015-01-04,IRINEÓPOLIS,1,-26.357066305040167,-50.76069119092562
2015-01-11,ANCHIETA,2,-26.532948184400585,-53.33310864178267
2015-01-18,CAMPOS NOVOS,1,-27.41300179636672,-51.24461188464247
2015-01-18,NOVA ITABERABA,6,-26.961141868867955,-52.83316646064405
2015-01-25,CORONEL MARTINS,1,-26.53464591641919,-52.67187452260622
2015-02-08,JUPIÁ,1,-26.394105628089882,-52.720920059617036
2015-02-15,XAVANTINA,1,-27.02121446664788,-52.321889849825574
2015-03-01,ABELARDO LUZ,1,-26.562426855567093,-52.25571912306015
2015-03-01,PALMA SOLA,1,-26.37354381742908,-53.31452923662933
2015-03-01,SÃO MARTINHO,1,-28.124556708734076,-48.97190447556622
2015-03-15,SÃO BERNARDINO,1,-26.4876954650617,-52.98761130109326
2015-03-29,LONTRAS,1,-27.18943445931826,-49.5073088131697
2015-04-12,BOM JESUS DO OESTE,2,-26.684020817771067,-53.095288071802216
2015-04-12,NOVO HORIZONTE,2,-26.494979246937564,-52.79636139882617
2015-04-19,NOVA VENEZA,1,-28.684717891453886,-49.58491232010042
2015-04-26,GALVÃO,2,-26.449409440681887,-52.65901067461307
2015-05-03,FLOR DO SERTÃO,1,-26.76378082164953,-53.33734229657069
2015-05-10,SÃO PEDRO DE ALCÂNTARA,1,-27.591567381186138,-48.837130751483066
2015-11-29,ARMAZÉM,1,-28.237880638136094,-49.014677665017096
2015-12-13,MODELO,2,-26.77477746640045,-53.05109629093748
2016-01-17,RIO DOS CEDROS,1,-26.61792661732718,-49.368384844168055
2016-01-24,SANGÃO,1,-28.65131474857763,-49.12583417040969
2016-02-07,FRAIBURGO,1,-27.037814801374303,-50.87243224056439
2016-02-07,TURVO,1,-28.903082181075938,-49.70342183732695
2016-02-14,IRACEMINHA,1,-26.845317195563474,-53.32445648581825
2016-02-14,OURO VERDE,1,-26.711533463528756,-52.27875795891815
2016-02-21,TUNÁPOLIS,1,-26.988116577060975,-53.64994894871563
2016-02-28,IPUMIRIM,1,-27.04030920397246,-52.15289061018003
2016-02-28,PASSOS MAIA,1,-26.706082760208048,-51.96106257398024
2016-03-13,BANDEIRANTE,1,-26.768595796097028,-53.64816794738197
2016-03-13,CORREIA PINTO,3,-27.59682976815301,-50.378096027660185
2016-03-13,SÃO MIGUEL DA BOA VISTA,2,-26.689643491003483,-53.23996170119908
2016-03-20,ROMELÂNDIA,1,-26.648389532310617,-53.31712397583878
2016-03-20,ÁGUA DOCE,1,-26.76446918157033,-51.61240583867837
2016-04-10,ASCURRA,1,-26.97363368202941,-49.39596551693794
2016-04-10,CURITIBANOS,1,-27.292933622885478,-50.61754793582909
2016-09-04,MORRO DA FUMAÇA,1,-28.637695962847626,-49.24286164427865
2016-10-09,AGROLÂNDIA,1,-27.45511639364327,-49.82477985824378
2016-11-20,MARACAJÁ,1,-28.863962997280648,-49.45554724451555
2016-11-27,SALETE,1,-26.96962326284445,-50.01068505920498
2016-12-04,PRESIDENTE GETÚLIO,1,-27.06258379829857,-49.71442977022528
2016-12-18,ÁGUAS FRIAS,1,-26.851638850973643,-52.85231124188476
2017-02-05,MONTE CASTELO,1,-26.660693783089588,-50.291540444204806
2017-02-26,MELEIRO,1,-28.84175105997365,-49.60179372826444
2017-03-05,VARGEÃO,1,-26.77869255231926,-52.12417603836292
2017-03-12,TIGRINHOS,1,-26.676066622551186,-53.15654614606529
2017-03-19,IPORÃ DO OESTE,5,-27.000431634442474,-53.489414418215965
2017-04-16,AGRONÔMICA,1,-27.327559429716437,-49.72074685728468
2017-05-21,LAJEADO GRANDE,1,-26.85494130222345,-52.55208511201592
2017-06-04,SANTIAGO DO SUL,1,-26.63087442406839,-52.69731235564567
2017-06-04,SÃO JOÃO DO SUL,1,-29.20556695305148,-49.81346773582506
2017-07-30,PAINEL,1,-27.96363041785285,-50.07213529549512
2017-11-05,ALTO BELA VISTA,1,-27.421535077481998,-51.92594839668161
2018-01-21,LINDÓIA DO SUL,1,-27.031507278170547,-52.05246609985818
2018-01-28,BARRA BONITA,1,-26.66835784442113,-53.425055355047476
2018-02-04,FAXINAL DOS GUEDES,1,-26.846669473721352,-52.24432281425879
2018-03-04,PAIAL,1,-27.21300274694801,-52.48786857820866
2018-03-25,BALNEÁRIO ARROIO DO SILVA,1,-29.019465075162362,-49.475056726291164
2018-03-25,GRÃO-PARÁ,1,-28.155035480014185,-49.314022146691165
2018-05-06,PONTE SERRADA,2,-26.861768575031704,-51.92821372642347
2018-09-16,BALNEÁRIO GAIVOTA,1,-29.153516044807805,-49.61536798375303
2018-11-04,JACINTO MACHADO,1,-28.99483199811634,-49.848148251438495
2018-12-09,LACERDÓPOLIS,1,-27.250882306855967,-51.59031113339198
2019-01-06,SANTA HELENA,1,-26.92195558857574,-53.61965218468821
2019-01-13,LAURO MÜLLER,1,-28.384585380726385,-49.45193164331007
2019-01-13,PONTE ALTA DO NORTE,2,-27.180289058668134,-50.41856691670765
2019-01-20,SÃO CRISTÓVÃO DO SUL,1,-27.29520553690684,-50.349496512442265
2019-01-20,WITMARSUM,1,-26.937345110004777,-49.84176100206415
2019-02-03,POUSO REDONDO,1,-27.286165527361565,-49.977272039975205
2019-02-03,TAIÓ,1,-27.078455806270693,-50.092434824380845
2019-02-10,SALTO VELOSO,1,-26.895934975227195,-51.428018355843534
2019-02-17,IPIRA,1,-27.37081858347813,-51.798707740039546
2019-03-03,BRAÇO DO TROMBUDO,1,-27.368598547286492,-49.90361664577843
2019-03-24,MAREMA,1,-26.812382609184045,-52.630069576468934
2019-03-24,PAPANDUVA,3,-26.50242441247795,-50.1723622637524
2019-10-20,PRAIA GRANDE,1,-29.181867687497547,-49.98950210163336
2019-11-24,URUSSANGA,1,-28.4926994380424,-49.32827746452854
2019-12-29,PETROLÂNDIA,1,-27.545740749165756,-49.68272426717698
2020-02-02,MACIEIRA,1,-26.803514154117057,-51.35313152484498
2020-02-02,RODEIO,2,-26.895097082819174,-49.35103649063635
2020-02-09,ZORTÉA,1,-27.47698781177276,-51.535614862678045
2020-03-01,ANGELINA,1,-27.543005676188848,-49.06722368187546
2020-03-15,AURORA,1,-27.32963166107603,-49.59034698790699
2020-04-12,JOSÉ BOITEUX,1,-26.85948733686543,-49.646306447162715
2020-04-19,CANELINHA,1,-27.23460358338924,-48.80230959011115
2020-04-26,TROMBUDO CENTRAL,1,-27.312097301154424,-49.81141612505136
2020-05-03,SÃO BONIFÁCIO,1,-27.956554071439474,-48.93909777309912
