semana,prec,tmin,tmed,tmax,casos,focos
1,43.16818181818181,17.881363636363645,21.64977272727273,27.919090909090905,0.0,10.1
2,46.12909090909091,17.629090909090912,21.523409090909084,27.849545454545453,0.0,5.5
3,36.87386363636363,17.401363636363637,21.510681818181823,27.841136363636352,0.0,10.1
4,36.14795454545453,17.545,21.755454545454544,28.367727272727265,0.1,15.199999999999998
5,34.69181818181818,17.487499999999997,21.259772727272733,27.51954545454545,0.1,18.299999999999997
6,22.003181818181815,16.621136363636364,20.93909090909091,27.567499999999995,0.0,5.7
7,28.676363636363646,16.83045454545455,20.82909090909091,27.171136363636375,0.0,17.3
8,38.595454545454544,16.829545454545453,20.65227272727273,27.00545454545455,0.0,18.200000000000003
9,39.862272727272725,16.75227272727273,20.538636363636368,26.789545454545454,0.0,18.599999999999998
10,30.93159090909091,16.8090909090909,20.653181818181825,27.21431818181818,0.1,8.399999999999999
11,22.05136363636364,16.720227272727275,20.369318181818183,26.598409090909083,0.1,21.300000000000004
12,31.468409090909095,15.862045454545456,19.35295454545454,25.551136363636363,0.0,26.2
13,24.190227272727267,15.110454545454537,18.883181818181818,25.077272727272728,0.1,25.500000000000004
14,19.12727272727272,14.623409090909092,18.337727272727278,24.632272727272724,0.0,8.999999999999998
15,17.535227272727273,14.1075,18.019999999999996,24.358409090909092,0.4,11.999999999999998
16,19.64090909090909,13.627954545454548,17.185454545454547,23.155681818181815,0.4,18.4
17,18.43795454545454,11.88613636363636,15.831136363636364,22.307045454545456,0.1,21.000000000000004
18,26.643409090909085,11.97909090909091,15.781136363636366,22.04704545454545,0.6,11.1
19,11.55431818181818,11.681363636363635,14.908409090909089,20.285454545454545,0.2,7.300000000000001
20,29.860681818181817,10.044999999999998,13.897954545454548,20.163863636363637,0.1,7.199999999999999
21,32.42931818181818,9.6,13.37022727272727,19.327954545454546,0.7000000000000001,5.899999999999999
22,43.307272727272725,9.767954545454547,13.099772727272727,18.44909090909091,0.0,14.499999999999998
23,37.01613636363638,9.492727272727272,13.180227272727272,18.87727272727273,0.1,5.1
24,31.120909090909095,7.568409090909091,11.607727272727272,17.74772727272727,0.2,2.9000000000000004
25,33.56931818181818,9.415454545454544,12.834318181818183,18.3825,0.0,3.0000000000000004
26,17.856363636363636,8.3725,12.32818181818182,18.62022727272727,0.0,8.3
27,11.904545454545454,8.330681818181818,12.247045454545455,18.761590909090913,0.0,8.299999999999999
28,33.70181818181819,9.401363636363634,13.164090909090913,19.14818181818182,0.0,1.7
29,10.849545454545456,7.766136363636364,12.19159090909091,19.326590909090907,0.0,0.7999999999999999
30,7.3140909090909085,8.180227272727272,12.630681818181815,19.732045454545457,0.0,1.8
31,6.66477272727273,8.742272727272727,13.352727272727275,20.79045454545454,0.0,14.3
32,34.3734090909091,8.912727272727269,12.947727272727274,19.35431818181818,0.0,2.6
33,26.694090909090903,9.728636363636364,13.686590909090908,19.948409090909095,0.0,0.8
34,21.506363636363634,9.4,13.923181818181819,20.90909090909091,0.0,1.3000000000000003
35,17.471590909090903,10.456136363636366,14.426363636363634,20.677499999999995,0.0,10.200000000000001
36,33.33840909090909,11.781363636363634,15.860227272727265,22.316590909090916,0.0,6.300000000000001
37,31.23409090909091,12.166136363636365,16.205909090909085,22.675,0.0,1.3
38,15.22090909090909,12.08318181818182,16.410227272727273,23.23136363636364,0.0,1.5
39,39.91977272727272,13.465000000000002,16.97727272727273,22.5275,0.0,4.4
40,45.18818181818181,12.943863636363636,16.619545454545452,22.4575,0.0,10.2
41,75.30613636363636,14.047500000000001,17.382727272727276,22.783409090909103,0.0,2.2
42,45.25363636363637,13.856363636363627,17.25977272727273,22.661136363636363,0.0,1.6
43,23.559545454545457,14.221818181818179,18.19909090909091,24.282045454545457,0.0,2.5999999999999996
44,47.662272727272736,13.716590909090911,17.358863636363637,22.988181818181822,0.0,11.100000000000001
45,26.82431818181818,13.975909090909092,18.105681818181818,24.37159090909091,0.0,2.8
46,35.22227272727273,14.438863636363637,19.15,26.02250000000001,0.0,4.1
47,24.96613636363637,15.121590909090907,19.210681818181822,25.380454545454555,0.0,4.1
48,33.48454545454545,15.666590909090905,19.5440909090909,25.287954545454543,0.0,8.799999999999999
49,29.20590909090909,16.206590909090913,20.373863636363637,26.823636363636368,0.0,6.899999999999999
50,27.19295454545455,16.744090909090907,20.87386363636363,27.316363636363647,0.0,7.7
51,34.93272727272728,16.92363636363637,20.865227272727275,27.093636363636367,0.0,7.1000000000000005
52,34.19590909090909,17.538409090909088,21.50704545454545,27.69272727272727,0.0,6.6
53,17.223636363636363,17.315454545454546,21.62090909090909,28.02886363636363,0.0,6.0
