semana,prec,tmin,tmed,tmax,casos,focos
1,34.181636363636365,20.57963636363636,23.879272727272735,29.114181818181812,4.54,401.97999999999996
2,45.587999999999994,20.183272727272723,23.675636363636364,29.08909090909091,7.399999999999999,370.50000000000006
3,40.36327272727271,20.29818181818182,23.802727272727278,29.02781818181819,12.200000000000001,634.7
4,34.56527272727273,20.597090909090912,24.036181818181824,29.658727272727273,23.1,667.1000000000003
5,45.474000000000004,20.39381818181818,23.663636363636364,28.81563636363637,43.3,596.6999999999999
6,23.815272727272717,19.804363636363636,23.421999999999997,28.726363636363633,62.50000000000001,325.6
7,33.34072727272727,19.918363636363633,23.34581818181818,28.559636363636365,74.99999999999999,766.5
8,38.24072727272727,19.701090909090905,23.098909090909096,28.472727272727276,94.8,700.0000000000001
9,43.52581818181819,19.645090909090914,22.972909090909088,28.153999999999996,185.7,651.0999999999999
10,38.111272727272734,19.812,23.056545454545457,28.177818181818182,291.6000000000001,292.6000000000001
11,25.533818181818184,19.59581818181819,22.67018181818182,27.585454545454542,481.69999999999993,620.5999999999998
12,31.34854545454547,18.662181818181825,21.729454545454548,26.65036363636364,711.5000000000001,525.4000000000001
13,29.052545454545452,18.267272727272726,21.546181818181815,26.597636363636365,1055.5,719.9999999999998
14,23.019818181818188,17.651272727272723,20.78218181818182,25.833090909090913,1344.4999999999998,411.90000000000015
15,17.50763636363636,17.432181818181814,20.692000000000004,25.79781818181818,1533.3999999999999,481.29999999999995
16,22.057636363636366,16.858909090909094,19.871818181818174,24.75472727272727,1705.7,626.0000000000003
17,13.01145454545455,15.60236363636364,18.849636363636364,24.10927272727273,1639.3999999999994,674.9000000000003
18,24.271636363636365,15.52472727272727,18.579818181818183,23.57472727272727,1818.4999999999993,446.3000000000002
19,14.574181818181819,14.987818181818183,17.733636363636368,22.304181818181824,1739.8999999999994,385.4
20,27.03436363636364,13.88927272727273,16.987272727272735,22.15727272727273,1431.0,494.6000000000001
21,36.65290909090909,13.094,16.22254545454545,21.304181818181824,1029.2,390.10000000000014
22,38.01363636363636,12.995272727272729,15.750545454545454,20.37036363636364,805.9999999999999,510.0
23,39.11963636363636,12.71163636363636,15.768000000000004,20.791272727272727,597.2,283.49999999999994
24,27.48127272727272,10.886363636363635,14.118727272727273,19.228727272727273,500.3999999999999,419.9000000000001
25,24.04454545454545,12.343454545454543,15.231999999999994,20.020545454545452,320.20000000000005,283.0
26,16.19181818181818,11.692000000000002,14.868363636363632,19.990909090909096,235.49999999999997,369.0
27,11.493636363636364,11.422727272727272,14.661818181818182,19.970000000000002,180.2,387.20000000000005
28,29.742181818181813,12.447454545454542,15.423454545454549,20.11527272727273,121.60000000000001,290.1
29,8.721818181818183,11.29290909090909,14.615636363636364,20.235999999999997,79.80000000000001,224.09999999999997
30,6.599272727272728,11.576727272727268,14.952909090909094,20.554181818181824,52.5,220.2
31,6.732727272727274,12.327818181818186,15.759090909090906,21.49727272727273,42.1,534.8000000000002
32,34.249272727272725,12.296363636363635,15.293454545454546,20.171818181818175,27.2,264.5
33,19.97745454545455,12.711636363636366,15.769090909090913,20.683636363636367,23.799999999999997,192.89999999999995
34,17.873999999999995,12.402545454545454,15.833090909090908,21.255090909090903,19.299999999999997,181.7
35,15.274363636363635,13.089090909090906,16.06072727272727,20.71418181818182,15.200000000000001,394.8
36,30.06981818181818,14.435454545454546,17.549090909090907,22.45872727272727,12.999999999999998,356.30000000000007
37,27.37254545454546,14.85563636363636,17.806909090909087,22.595818181818178,13.599999999999998,249.50000000000003
38,13.410181818181819,14.95472727272727,18.164909090909088,23.22109090909091,14.599999999999996,219.9
39,38.55945454545456,15.847818181818178,18.494181818181815,22.675636363636364,11.3,349.3000000000001
40,37.06254545454547,15.29236363636364,18.01581818181818,22.193272727272728,8.5,495.70000000000005
41,56.162181818181814,16.420000000000005,18.849636363636364,22.809636363636365,8.699999999999998,257.79999999999995
42,35.62363636363637,16.253272727272734,18.895818181818182,22.98545454545454,8.299999999999999,258.7
43,22.674727272727267,16.964363636363633,19.941090909090907,24.51472727272727,8.400000000000002,303.5
44,36.43327272727272,16.31890909090909,19.23181818181818,23.394909090909092,6.599999999999999,588.3000000000001
45,26.596181818181822,16.63745454545455,19.831818181818182,24.549636363636363,8.700000000000001,243.3
46,34.48145454545455,17.203454545454544,20.893090909090912,26.19709090909091,8.999999999999998,323.20000000000016
47,22.73690909090909,17.66181818181818,20.85854545454546,25.403090909090903,7.8999999999999995,402.79999999999984
48,45.111818181818194,18.322909090909093,21.40745454545454,25.86490909090908,10.499999999999995,500.80000000000007
49,30.060000000000002,18.776545454545456,22.022545454545444,26.889090909090907,9.0,298.0
50,27.703636363636363,19.214181818181817,22.598727272727274,27.727999999999998,10.200000000000001,557.3000000000001
51,40.837636363636356,19.572,22.723818181818185,27.581090909090914,9.3,397.79999999999995
52,37.85254545454545,20.063090909090906,23.329454545454553,28.381636363636364,10.399999999999997,236.70000000000005
53,14.209090909090909,19.80109090909091,23.291636363636364,28.57963636363636,63.34000000000001,149.98999999999998
