Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 01/01/2012 a 31/12/2012,,,,,,
Atualizado em 26/05/2023,,,,,,
Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Joinville,JOINVILLE,BOM RETIRO,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,12/01/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,17/12/2012
Chapecó,PINHALZINHO,SANTO ANTONIO,Comércio,D1 - Pneus e outros materiais rodantes,,08/05/2012
Jaraguá do Sul,JARAGUÁ DO SUL,ILHA DA FIGUEIRA,Comércio,ARM - Armadilha,,23/07/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Comércio,ARM - Armadilha,,26/11/2012
Chapecó,CHAPECÓ,EFAPI,Comércio,ARM - Armadilha,,10/12/2012
São José,FLORIANÓPOLIS,MONTE CRISTO,Residência,D1 - Pneus e outros materiais rodantes,,04/04/2012
Joinville,JOINVILLE,SÃO MARCOS,Ponto Estratégico,ARM - Armadilha,,08/02/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Residência,ARM - Armadilha,,13/04/2012
Chapecó,CHAPECÓ,BELA VISTA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,29/02/2012
Jaraguá do Sul,JARAGUÁ DO SUL,VILA LALAU,Ponto Estratégico,ARM - Armadilha,,05/04/2012
São José,FLORIANÓPOLIS,MONTE CRISTO,Residência,B - Pequenos depósitos móveis,,24/05/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Comércio,ARM - Armadilha,,24/02/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Residência,ARM - Armadilha,,11/07/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,SAO SEBASTIAO,Comércio,ARM - Armadilha,,14/03/2012
Joinville,JOINVILLE,SANTA CATARINA,Ponto Estratégico,ARM - Armadilha,,12/09/2012
Chapecó,CHAPECÓ,SAIC,Residência,ARM - Armadilha,,08/02/2012
Chapecó,CHAPECÓ,MARIA GORETI,Ponto Estratégico,B - Pequenos depósitos móveis,,05/12/2012
Chapecó,CHAPECÓ,SANTO ANTONIO,Residência,ARM - Armadilha,,06/12/2012
Joinville,JOINVILLE,ITINGA,Comércio,B - Pequenos depósitos móveis,,16/04/2012
Chapecó,CHAPECÓ,PINHEIRINHO,Residência,ARM - Armadilha,,18/12/2012
Mafra,SÃO BENTO DO SUL,RIO NEGRO,Comércio,ARM - Armadilha,,21/05/2012
Itajaí,BOMBINHAS,BOMBAS,Outros,C - Depósitos Fixos,,01/06/2012
Chapecó,CHAPECÓ,CENTRO,Comércio,ARM - Armadilha,,27/11/2012
Blumenau,BLUMENAU,VILA NOVA,Comércio,ARM - Armadilha,,12/12/2012
São José,FLORIANÓPOLIS,CAPOEIRAS,Residência,D1 - Pneus e outros materiais rodantes,,09/04/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,14/02/2012
Joinville,JOINVILLE,ITAUM,Residência,ARM - Armadilha,,16/04/2012
Itajaí,BALNEÁRIO CAMBORIÚ,CENTRO 1,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,,05/03/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Ponto Estratégico,  - Mosquito Adulto,,19/03/2012
Chapecó,PINHALZINHO,DIVINÉIA,Residência,B - Pequenos depósitos móveis,,04/05/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Ponto Estratégico,C - Depósitos Fixos,,12/04/2012
Chapecó,CHAPECÓ,BELA VISTA,Residência,ARM - Armadilha,,31/05/2012
São José,BIGUAÇU,RIO CAVEIRAS,Comércio,ARM - Armadilha,,27/02/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Comércio,ARM - Armadilha,,16/03/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,17/01/2012
Chapecó,CHAPECÓ,BELA VISTA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,29/05/2012
Chapecó,CHAPECÓ,JARDIM AMERICA,Residência,ARM - Armadilha,,13/11/2012
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,Armadilha,26/03/2012
Chapecó,CHAPECÓ,BELA VISTA,Comércio,ARM - Armadilha,,04/04/2012
Joinville,JOINVILLE,ITINGA,Residência,D1 - Pneus e outros materiais rodantes,,27/02/2012
São Miguel do Oeste,SÃO JOSÉ DO CEDRO,CENTRO,Outros,ARM - Armadilha,,21/03/2012
Chapecó,CHAPECÓ,ALVORADA,Residência,ARM - Armadilha,,05/03/2012
Chapecó,CHAPECÓ,SÃO CRISTÓVÃO,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,07/05/2012
Tubarão,BRAÇO DO NORTE,RIO BONITO,Comércio,ARM - Armadilha,,18/09/2012
Chapecó,CHAPECÓ,LIDER,Comércio,ARM - Armadilha,,19/11/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,13/03/2012
Chapecó,CHAPECÓ,LIDER,Residência,ARM - Armadilha,,19/03/2012
Jaraguá do Sul,JARAGUÁ DO SUL,VIEIRAS,Comércio,ARM - Armadilha,,28/12/2012
Joinville,ARAQUARI,ITAPOCU,Ponto Estratégico,ARM - Armadilha,,19/01/2012
Joinville,JOINVILLE,AVENTUREIRO,Residência,ARM - Armadilha,,17/04/2012
São José,FLORIANÓPOLIS,COLONINHA,Residência,B - Pequenos depósitos móveis,,24/04/2012
Chapecó,CHAPECÓ,BELA VISTA,Comércio,ARM - Armadilha,,10/01/2012
Chapecó,CHAPECÓ,ALVORADA,Comércio,ARM - Armadilha,,13/02/2012
Concórdia,CONCÓRDIA,VILA JACOB BIEZUS,Ponto Estratégico,B - Pequenos depósitos móveis,,08/05/2012
Chapecó,CHAPECÓ,SAIC,Residência,ARM - Armadilha,,24/09/2012
Chapecó,PINHALZINHO,SANTO ANTONIO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,12/06/2012
Joinville,JOINVILLE,FLORESTA,Residência,A1 - Caixa d'agua (elevado),,20/11/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Comércio,ARM - Armadilha,,27/03/2012
Chapecó,CHAPECÓ,JARDIM ITALIA,Comércio,ARM - Armadilha,,09/04/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,23/02/2012
São José,FLORIANÓPOLIS,COLONINHA,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,10/04/2012
Chapecó,CHAPECÓ,CRISTO REI,Residência,ARM - Armadilha,,07/03/2012
Chapecó,PINHALZINHO,DIVINÉIA,Outros,B - Pequenos depósitos móveis,,09/05/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Comércio,ARM - Armadilha,,15/10/2012
Chapecó,CHAPECÓ,ALVORADA,Comércio,ARM - Armadilha,,19/11/2012
Chapecó,CHAPECÓ,CRISTO REI,Residência,ARM - Armadilha,,14/03/2012
Chapecó,CHAPECÓ,CRISTO REI,Residência,ARM - Armadilha,,21/03/2012
São José,FLORIANÓPOLIS,CAPOEIRAS,Terreno baldio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,09/04/2012
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Ponto Estratégico,ARM - Armadilha,Armadilha,31/01/2012
Chapecó,CHAPECÓ,BOM PASTOR,Residência,ARM - Armadilha,,16/04/2012
Chapecó,PINHALZINHO,PIONEIRO,Residência,B - Pequenos depósitos móveis,,30/04/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,SALETE,Comércio,ARM - Armadilha,,07/02/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Comércio,ARM - Armadilha,,17/02/2012
Concórdia,CONCÓRDIA,VILA JACOB BIEZUS,Ponto Estratégico,B - Pequenos depósitos móveis,,08/05/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,29/10/2012
Jaraguá do Sul,GUARAMIRIM,CENTRO,Ponto Estratégico,ARM - Armadilha,,03/07/2012
Chapecó,CHAPECÓ,BELA VISTA,Residência,ARM - Armadilha,,26/11/2012
Chapecó,CHAPECÓ,PRESIDENTE MEDICI,Comércio,ARM - Armadilha,,28/03/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Comércio,ARM - Armadilha,,13/04/2012
Itajaí,BOMBINHAS,BOMBAS,Residência,ARM - Armadilha,,27/02/2012
Joinville,JOINVILLE,ITINGA,Outros,A2 - Outros depósitos de armazenamento de água,,16/04/2012
Itajaí,BOMBINHAS,BOMBAS,Residência,A2 - Outros depósitos de armazenamento de água,,09/03/2012
Chapecó,CHAPECÓ,ALVORADA,Outros,A2 - Outros depósitos de armazenamento de água,,09/05/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Comércio,ARM - Armadilha,,29/10/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Residência,ARM - Armadilha,,15/03/2012
Chapecó,CHAPECÓ,CRISTO REI,Comércio,ARM - Armadilha,,18/12/2012
Chapecó,CHAPECÓ,ALVORADA,Residência,ARM - Armadilha,,26/03/2012
Chapecó,CHAPECÓ,CENTRO,Terreno baldio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,19/10/2012
Chapecó,PINHALZINHO,PIONEIRO,Residência,D1 - Pneus e outros materiais rodantes,,20/04/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,17/12/2012
Chapecó,PINHALZINHO,DIVINÉIA,Residência,C - Depósitos Fixos,,04/05/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Comércio,ARM - Armadilha,,08/02/2012
Joinville,JOINVILLE,FLORESTA,Ponto Estratégico,ARM - Armadilha,,24/04/2012
São José,GAROPABA,ENCANTADA,Ponto Estratégico,E - Depósitos naturais,,19/05/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Residência,ARM - Armadilha,,07/11/2012
Chapecó,CHAPECÓ,EFAPI,Comércio,ARM - Armadilha,,22/03/2012
Chapecó,CHAPECÓ,ENGENHO BRAUM,Residência,ARM - Armadilha,,27/11/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Comércio,ARM - Armadilha,,30/03/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Residência,ARM - Armadilha,,17/02/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Outros,ARM - Armadilha,,24/02/2012
Itajaí,BALNEÁRIO CAMBORIÚ,CENTRO 1,Residência,ARM - Armadilha,,01/03/2012
Chapecó,CHAPECÓ,EFAPI,Outros,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,07/05/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Comércio,ARM - Armadilha,,23/08/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Comércio,ARM - Armadilha,,12/11/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,19/03/2012
Chapecó,CHAPECÓ,CENTRO,Comércio,ARM - Armadilha,,20/12/2012
Chapecó,CHAPECÓ,JARDIM ITALIA,Residência,C - Depósitos Fixos,,28/03/2012
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Ponto Estratégico,ARM - Armadilha,,17/01/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,18/04/2012
Xanxerê,XAXIM,BELA VISTA,Residência,ARM - Armadilha,,26/12/2012
Itajaí,BOMBINHAS,BOMBAS,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,15/02/2012
Chapecó,CHAPECÓ,BELA VISTA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,27/04/2012
Concórdia,CONCÓRDIA,SANTA CRUZ,Residência,ARM - Armadilha,,21/08/2012
São Miguel do Oeste,DIONÍSIO CERQUEIRA,SALETE,Comércio,ARM - Armadilha,,28/02/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Comércio,ARM - Armadilha,,16/03/2012
Chapecó,CHAPECÓ,TREVO,Residência,D1 - Pneus e outros materiais rodantes,,18/01/2012
Blumenau,BLUMENAU,ITOUPAVAZINHA,Ponto Estratégico,ARM - Armadilha,,31/10/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,09/02/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Residência,ARM - Armadilha,,30/11/2012
Joinville,JOINVILLE,SANTA CATARINA,Ponto Estratégico,ARM - Armadilha,,12/12/2012
Chapecó,CHAPECÓ,JARDIM AMERICA,Residência,ARM - Armadilha,,12/12/2012
Chapecó,CHAPECÓ,BELVEDERE,Comércio,ARM - Armadilha,,16/04/2012
Chapecó,CHAPECÓ,CENTRO,Comércio,ARM - Armadilha,,28/05/2012
Chapecó,CHAPECÓ,PARQUE DAS PALMEIRAS,Outros,ARM - Armadilha,,16/10/2012
Chapecó,CHAPECÓ,LIDER,Comércio,ARM - Armadilha,,03/12/2012
Chapecó,CHAPECÓ,CENTRO,Comércio,ARM - Armadilha,,13/12/2012
Chapecó,CHAPECÓ,ENGENHO BRAUM,Residência,E - Depósitos naturais,,29/03/2012
São José,FLORIANÓPOLIS,MONTE CRISTO,Residência,B - Pequenos depósitos móveis,,10/04/2012
São José,SÃO JOSÉ,NOSSA SENHORA DO ROSARIO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,17/02/2012
Joinville,JOINVILLE,AVENTUREIRO,Ponto Estratégico,  - Mosquito Adulto,,14/03/2012
Blumenau,BLUMENAU,BADENFURT,Ponto Estratégico,ARM - Armadilha,,27/03/2012
São José,TIJUCAS,CENTRO,Residência,D1 - Pneus e outros materiais rodantes,,08/05/2012
São Miguel do Oeste,SÃO JOSÉ DO CEDRO,CENTRO,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,16/04/2012
São José,TIJUCAS,CENTRO,Residência,B - Pequenos depósitos móveis,,05/06/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,PROGRESSO,Comércio,ARM - Armadilha,,05/03/2012
Concórdia,CONCÓRDIA,VILA JACOB BIEZUS,Comércio,ARM - Armadilha,,19/03/2012
Joinville,JOINVILLE,ITINGA,Residência,ARM - Armadilha,,24/01/2012
Chapecó,CHAPECÓ,BELVEDERE,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,,12/11/2012
Chapecó,CHAPECÓ,LIDER,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,13/02/2012
Chapecó,CHAPECÓ,LIDER,Residência,ARM - Armadilha,,03/12/2012
Chapecó,CHAPECÓ,BOM PASTOR,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,18/12/2012
Joinville,JOINVILLE,ITAUM,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,17/12/2012
São José,FLORIANÓPOLIS,COLONINHA,Comércio,C - Depósitos Fixos,,23/04/2012
Chapecó,CHAPECÓ,EFAPI,Comércio,ARM - Armadilha,,25/06/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Outros,ARM - Armadilha,,13/11/2012
Chapecó,CHAPECÓ,CENTRO,Comércio,ARM - Armadilha,,05/12/2012
Chapecó,CHAPECÓ,LIDER,Comércio,ARM - Armadilha,,17/12/2012
São José,FLORIANÓPOLIS,MONTE CRISTO,Residência,B - Pequenos depósitos móveis,,03/04/2012
São José,FLORIANÓPOLIS,COLONINHA,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,12/04/2012
Joinville,ARAQUARI,COLEGIO AGRICOLA,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,24/02/2012
Jaraguá do Sul,BARRA VELHA,SERTÃOZINHO,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,19/03/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,02/04/2012
Joinville,JOINVILLE,FLORESTA,Residência,D1 - Pneus e outros materiais rodantes,,22/05/2012
Joinville,JOINVILLE,FLORESTA,Ponto Estratégico,B - Pequenos depósitos móveis,,19/04/2012
Chapecó,CHAPECÓ,EFAPI,Residência,ARM - Armadilha,,26/06/2012
Chapecó,CHAPECÓ,LIDER,Comércio,ARM - Armadilha,,12/03/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Comércio,ARM - Armadilha,,22/03/2012
Itajaí,BOMBINHAS,BOMBAS,Residência,E - Depósitos naturais,,01/02/2012
Criciúma,COCAL DO SUL,JARDIM DAS PALMEIRAS,Ponto Estratégico,C - Depósitos Fixos,,21/11/2012
Chapecó,CHAPECÓ,LIDER,Residência,A2 - Outros depósitos de armazenamento de água,,10/02/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,03/12/2012
São Miguel do Oeste,DIONÍSIO CERQUEIRA,CENTRO,Outros,ARM - Armadilha,,25/01/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,17/12/2012
Chapecó,PINHALZINHO,CENTRO,Comércio,B - Pequenos depósitos móveis,,09/05/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Comércio,ARM - Armadilha,,26/11/2012
Chapecó,CHAPECÓ,PRESIDENTE MEDICI,Comércio,ARM - Armadilha,,10/12/2012
Chapecó,CHAPECÓ,ALVORADA,Residência,ARM - Armadilha,,09/04/2012
Joinville,JOINVILLE,SÃO MARCOS,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,08/02/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Residência,ARM - Armadilha,,12/04/2012
Chapecó,CHAPECÓ,BELA VISTA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,29/02/2012
Concórdia,CONCÓRDIA,SÃO CRISTOVAO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,15/03/2012
Itajaí,NAVEGANTES,MACHADOS,Ponto Estratégico,ARM - Armadilha,,04/04/2012
São José,FLORIANÓPOLIS,COLONINHA,Residência,B - Pequenos depósitos móveis,,24/05/2012
Chapecó,CHAPECÓ,SANTA MARIA,Comércio,ARM - Armadilha,,24/02/2012
Xanxerê,SÃO LOURENÇO DO OESTE,SANTA CATARINA,Residência,ARM - Armadilha,,16/07/2012
Tubarão,CAPIVARI DE BAIXO,TRES DE MAIO,Comércio,ARM - Armadilha,,13/03/2012
Chapecó,CHAPECÓ,BELA VISTA,Residência,ARM - Armadilha,,10/01/2012
Blumenau,BLUMENAU,ITOUPAVAZINHA,Ponto Estratégico,ARM - Armadilha,,17/09/2012
Chapecó,CHAPECÓ,CRISTO REI,Residência,ARM - Armadilha,,08/02/2012
Criciúma,COCAL DO SUL,VILA NOVA,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,,06/12/2012
São José,TIJUCAS,CENTRO,Residência,E - Depósitos naturais,,03/12/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Comércio,ARM - Armadilha,,15/03/2012
Chapecó,PINHALZINHO,DIVINÉIA,Residência,ARM - Armadilha,,17/12/2012
Concórdia,CONCÓRDIA,SÃO CRISTOVAO,Comércio,D1 - Pneus e outros materiais rodantes,,18/05/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,SAGRADO CORACAO,Outros,ARM - Armadilha,,20/06/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,CENTRO,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,28/11/2012
Chapecó,CHAPECÓ,JARDIM ITALIA,Comércio,ARM - Armadilha,,12/12/2012
São José,FLORIANÓPOLIS,CAPOEIRAS,Residência,A2 - Outros depósitos de armazenamento de água,,09/04/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,14/02/2012
Chapecó,CHAPECÓ,CRISTO REI,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,02/03/2012
Chapecó,CHAPECÓ,BELA VISTA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,21/03/2012
Chapecó,PINHALZINHO,DIVINÉIA,Residência,B - Pequenos depósitos móveis,,04/05/2012
Concórdia,CONCÓRDIA,SÃO CRISTOVAO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,12/04/2012
Chapecó,CHAPECÓ,SÃO CRISTÓVÃO,Residência,ARM - Armadilha,,31/05/2012
Chapecó,CHAPECÓ,BELA VISTA,Comércio,ARM - Armadilha,,14/02/2012
Chapecó,CHAPECÓ,CRISTO REI,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,27/04/2012
Chapecó,CHAPECÓ,BELA VISTA,Residência,ARM - Armadilha,,28/08/2012
Blumenau,BLUMENAU,PROGRESSO,Ponto Estratégico,ARM - Armadilha,,29/05/2012
Chapecó,CHAPECÓ,CRISTO REI,Residência,ARM - Armadilha,,13/11/2012
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,Armadilha,26/03/2012
Chapecó,CHAPECÓ,BELA VISTA,Comércio,ARM - Armadilha,,04/04/2012
Chapecó,CHAPECÓ,BELA VISTA,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,23/02/2012
São José,FLORIANÓPOLIS,MONTE CRISTO,Outros,ARM - Armadilha,,22/03/2012
Joinville,JOINVILLE,ITINGA,Residência,B - Pequenos depósitos móveis,,06/03/2012
Chapecó,CHAPECÓ,EFAPI,Outros,D1 - Pneus e outros materiais rodantes,,08/05/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Comércio,ARM - Armadilha,,24/09/2012
Chapecó,CHAPECÓ,LIDER,Comércio,ARM - Armadilha,,19/11/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Residência,ARM - Armadilha,,13/03/2012
São Miguel do Oeste,SÃO MIGUEL DO OESTE,BAIRRO AGOSTINI,Residência,ARM - Armadilha,,21/03/2012
Itajaí,BALNEÁRIO CAMBORIÚ,CENTRO 4,Comércio,ARM - Armadilha,,27/12/2012
