Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 01/01/2012 a 31/12/2012,,,,,,
Atualizado em 26/05/2023,,,,,,
Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Blumenau,BLUMENAU,ITOUPAVAZINHA,Ponto Estratégico,ARM - Armadilha,,31/10/2012
Chapecó,CHAPECÓ,MARIA GORETI,Residência,ARM - Armadilha,,09/02/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Residência,ARM - Armadilha,,30/11/2012
Blumenau,POMERODE,TESTO REGA,Ponto Estratégico,ARM - Armadilha,,10/12/2012
Chapecó,CHAPECÓ,MARIA GORETI,Residência,ARM - Armadilha,,11/12/2012
Chapecó,CHAPECÓ,JARDIM AMERICA,Comércio,ARM - Armadilha,,17/04/2012
Chapecó,CHAPECÓ,PASSO DOS FORTES,Comércio,ARM - Armadilha,,25/05/2012
São José,FLORIANÓPOLIS,COLONINHA,Outros,ARM - Armadilha,,24/09/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Comércio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,03/12/2012
Chapecó,CHAPECÓ,CENTRO,Comércio,ARM - Armadilha,,13/12/2012
Chapecó,CHAPECÓ,PRESIDENTE MEDICI,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,29/03/2012
São José,FLORIANÓPOLIS,CAPOEIRAS,Residência,B - Pequenos depósitos móveis,,09/04/2012
Jaraguá do Sul,BARRA VELHA,VILA PARAGUAI,Ponto Estratégico,ARM - Armadilha,,10/01/2012
Blumenau,BLUMENAU,ITOUPAVAZINHA,Ponto Estratégico,A1 - Caixa d'agua (elevado),,13/03/2012
Rio do Sul,LAURENTINO,MARGEM ESQUERDA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,23/03/2012
Chapecó,PINHALZINHO,DIVINÉIA,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,10/05/2012
Blumenau,BRUSQUE,NOVA BRASÍLIA,Ponto Estratégico,ARM - Armadilha,,12/04/2012
São José,TIJUCAS,CENTRO,Residência,B - Pequenos depósitos móveis,,05/06/2012
Joinville,JOINVILLE,GLORIA,Comércio,ARM - Armadilha,,05/03/2012
Rio do Sul,RIO DO SUL,PAMPLONA,Comércio,ARM - Armadilha,,14/03/2012
Lages,LAGES,CENTRO,Residência,ARM - Armadilha,,11/01/2012
Chapecó,CHAPECÓ,BELVEDERE,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,,12/11/2012
Itajaí,BOMBINHAS,BOMBAS,Residência,C - Depósitos Fixos,,15/02/2012
Chapecó,CHAPECÓ,LIDER,Residência,ARM - Armadilha,,03/12/2012
Chapecó,CHAPECÓ,BOM PASTOR,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,,18/12/2012
Chapecó,CHAPECÓ,SANTO ANTONIO,Residência,ARM - Armadilha,,14/12/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Comércio,ARM - Armadilha,,18/04/2012
Chapecó,CHAPECÓ,BELA VISTA,Comércio,ARM - Armadilha,,20/06/2012
Chapecó,CHAPECÓ,SAO CRISTOVAO,Outros,ARM - Armadilha,,29/10/2012
Chapecó,CHAPECÓ,CENTRO,Comércio,ARM - Armadilha,,05/12/2012
Criciúma,CRICIÚMA,PINHEIRINHO,Comércio,ARM - Armadilha,,17/12/2012
Chapecó,CHAPECÓ,UNIVERSITARIO,Residência,ARM - Armadilha,,03/04/2012
São José,FLORIANÓPOLIS,COLONINHA,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,12/04/2012
Blumenau,BLUMENAU,ITOUPAVA CENTRAL,Ponto Estratégico,ARM - Armadilha,,23/02/2012
São José,SÃO JOSÉ,AREA INDUSTRIAL,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,17/03/2012
Jaraguá do Sul,JARAGUÁ DO SUL,VILA LALAU,Ponto Estratégico,C - Depósitos Fixos,,30/03/2012
Joinville,JOINVILLE,FLORESTA,Residência,D1 - Pneus e outros materiais rodantes,,22/05/2012
Joinville,JOINVILLE,FLORESTA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,18/04/2012
Itajaí,BOMBINHAS,BOMBAS,Residência,ARM - Armadilha,,08/05/2012
Chapecó,CHAPECÓ,ALVORADA,Comércio,ARM - Armadilha,,12/03/2012
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,,22/03/2012
Chapecó,CHAPECÓ,ALVORADA,Residência,ARM - Armadilha,,06/02/2012
Joinville,ARAQUARI,COLEGIO AGRICOLA,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",,20/11/2012
Joinville,JOINVILLE,ITINGA,Residência,ARM - Armadilha,,13/02/2012
Chapecó,CHAPECÓ,CRISTO REI,Residência,ARM - Armadilha,,04/12/2012
