Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/04/2024 a 31/07/2024,,,,,,,,,,,,,
Atualizado em 29/04/2025,,,,,,,,,,,,,
Nº Foco,Regional,Município,Localidade,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 468900/24,Tubarão,SÃO LUDGERO,PARQUE DAS ACÁCIAS,ARM - Armadilha,Armadilha,15/04/2024,15/04/2025,16/04/2025,4,0,0,0,0
ARM 467910/24,Concórdia,IPUMIRIM,CENTRO,ARM - Armadilha,Armadilha,10/04/2024,11/04/2025,12/04/2025,4,0,0,0,0
ARM 464131/24,Itajaí,BOMBINHAS,MARISCAL,ARM - Armadilha,Armadilha,01/04/2024,01/04/2025,02/04/2025,8,0,2,0,0
ARM 428361/24,São Miguel do Oeste,ITAPIRANGA,SANTA TEREZA ALTA,ARM - Armadilha,Armadilha,24/06/2024,24/06/2024,24/06/2024,10,0,0,0,0
ID 424299/24,São José,BIGUAÇU,ENCRUZILHADA,B - Pequenos depósitos móveis,Investigação de Denúncia,01/04/2024,04/11/2024,04/11/2024,10,0,0,0,0
ARM 420727/24,São Miguel do Oeste,ITAPIRANGA,CENTRO,ARM - Armadilha,Armadilha,29/07/2024,29/07/2024,29/07/2024,4,0,0,0,0
ARM 420725/24,São Miguel do Oeste,ITAPIRANGA,CENTRO,ARM - Armadilha,Armadilha,24/06/2024,24/06/2024,25/06/2024,15,0,0,0,0
ARM 420724/24,São Miguel do Oeste,ITAPIRANGA,BARDEN,ARM - Armadilha,Armadilha,24/06/2024,24/06/2024,25/06/2024,14,0,0,0,0
ARM 420721/24,São Miguel do Oeste,ITAPIRANGA,RUSCHEL,ARM - Armadilha,Armadilha,24/06/2024,24/06/2024,25/06/2024,5,0,0,0,0
ARM 420647/24,São Miguel do Oeste,ITAPIRANGA,INDUSTRIAL,ARM - Armadilha,Armadilha,24/06/2024,24/06/2024,24/06/2024,3,0,0,0,0
ARM 420646/24,São Miguel do Oeste,ITAPIRANGA,BELA VISTA,ARM - Armadilha,Armadilha,24/06/2024,24/06/2024,24/06/2024,7,0,0,2,0
ARM 420644/24,São Miguel do Oeste,ITAPIRANGA,BELA VISTA,ARM - Armadilha,Armadilha,24/06/2024,24/06/2024,25/06/2024,3,0,0,0,0
ID 418058/24,São José,FLORIANÓPOLIS,SANTINHO,C - Depósitos Fixos,Investigação de Denúncia,07/04/2024,09/09/2024,09/09/2024,1,0,0,0,0
PE 417756/24,São José,SÃO JOSÉ,JARDIM CIDADE FLORIANOPOLIS,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,30/07/2024,02/09/2024,02/09/2024,2,0,0,0,0
DF 416834/24,Joinville,ARAQUARI,ITAPOCU,B - Pequenos depósitos móveis,Delimitação de Foco,31/07/2024,12/08/2024,12/08/2024,1,0,0,0,0
ARM 416672/24,Rio do Sul,PRESIDENTE GETÚLIO,NITEROI,ARM - Armadilha,Armadilha,30/07/2024,09/08/2024,09/08/2024,27,0,0,0,0
ARM 416671/24,Rio do Sul,PRESIDENTE GETÚLIO,CENTRO,ARM - Armadilha,Armadilha,30/07/2024,09/08/2024,09/08/2024,10,0,0,0,0
ARM 416670/24,Rio do Sul,PRESIDENTE GETÚLIO,PINHEIRO,ARM - Armadilha,Armadilha,24/07/2024,09/08/2024,09/08/2024,41,0,0,0,0
ARM 416669/24,Rio do Sul,PRESIDENTE GETÚLIO,PRIMAVERA,ARM - Armadilha,Armadilha,22/07/2024,09/08/2024,09/08/2024,3,0,0,0,0
DF 416666/24,São José,GAROPABA,CAMPO DUNA,ARM - Armadilha,Delimitação de Foco,29/07/2024,29/07/2024,29/07/2024,4,0,0,0,0
DF 416665/24,São José,GAROPABA,CENTRO,ARM - Armadilha,Delimitação de Foco,25/07/2024,25/07/2024,25/07/2024,9,0,0,0,0
ARM 416611/24,Jaraguá do Sul,BARRA VELHA,VILA NOVA,ARM - Armadilha,Armadilha,30/07/2024,09/08/2024,09/08/2024,5,0,0,0,0
ARM 416610/24,Jaraguá do Sul,BARRA VELHA,JARDIM ICARAI,ARM - Armadilha,Armadilha,30/07/2024,09/08/2024,09/08/2024,1,0,0,0,0
DF 416523/24,São José,GAROPABA,CENTRO,ARM - Armadilha,Delimitação de Foco,20/06/2024,20/06/2024,20/06/2024,2,0,0,0,0
DF 416522/24,São José,GAROPABA,CENTRO,ARM - Armadilha,Delimitação de Foco,20/06/2024,20/06/2024,20/06/2024,5,0,2,0,0
DF 416521/24,São José,GAROPABA,CENTRO,ARM - Armadilha,Delimitação de Foco,20/06/2024,20/06/2024,20/06/2024,3,0,0,0,0
DF 416519/24,São José,GAROPABA,CENTRO,ARM - Armadilha,Delimitação de Foco,19/06/2024,19/06/2024,19/06/2024,5,0,0,0,0
