Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/09/2023 a 30/09/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 349725/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349724/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,3,0,0,0,0
ARM 349723/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349722/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349721/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349720/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349719/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,10,0,0,0,0
ARM 349718/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349717/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,4,0,0,0,0
ARM 349716/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,30,0,0,0,0
ARM 349715/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,4,0,0,0,0
ARM 349714/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,2,0,0,0,0
ARM 349713/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,28/09/2023,29/09/2023,29/09/2023,4,0,0,0,0
ARM 349712/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,28/09/2023,28/09/2023,29/09/2023,1,0,0,0,0
PE 349711/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,28/09/2023,28/09/2023,29/09/2023,5,0,0,0,0
PE 349710/23,Blumenau,BLUMENAU,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,28/09/2023,28/09/2023,29/09/2023,1,0,0,0,0
ARM 349707/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,10,0,0,0,0
ARM 349706/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,29/09/2023,29/09/2023,29/09/2023,1,0,0,0,0
ARM 349705/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,7,0,0,0,0
ARM 349704/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,1,0,0,0,0
ARM 349700/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/09/2023,27/09/2023,28/09/2023,1,0,0,0,0
