Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/12/2023 a 31/12/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 367803/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,20/12/2023,21/12/2023,21/12/2023,19,0,0,0,0
ARM 367802/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,20/12/2023,21/12/2023,21/12/2023,3,0,0,0,0
ARM 367799/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,20/12/2023,21/12/2023,21/12/2023,18,0,0,0,0
ARM 367797/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,19/12/2023,21/12/2023,21/12/2023,6,0,0,0,0
ARM 367793/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,20/12/2023,21/12/2023,21/12/2023,20,0,0,0,0
ARM 367789/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,20/12/2023,21/12/2023,21/12/2023,4,0,0,0,0
PVE 367786/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,19/12/2023,20/12/2023,20/12/2023,3,0,0,0,0
PVE 367784/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,19/12/2023,20/12/2023,20/12/2023,5,0,0,0,0
ARM 367781/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,19/12/2023,20/12/2023,20/12/2023,10,0,0,0,0
ARM 367777/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,19/12/2023,20/12/2023,20/12/2023,13,0,0,0,0
ARM 367774/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,19/12/2023,20/12/2023,20/12/2023,7,0,0,0,0
ARM 367773/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,19/12/2023,20/12/2023,20/12/2023,2,0,0,0,0
ARM 367770/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,19/12/2023,19/12/2023,19/12/2023,17,0,0,0,0
ARM 367767/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,18/12/2023,19/12/2023,19/12/2023,3,0,0,0,0
ARM 367765/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,19/12/2023,19/12/2023,19/12/2023,10,0,0,0,0
ARM 367747/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,18/12/2023,19/12/2023,19/12/2023,16,0,0,0,0
ARM 367743/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,18/12/2023,19/12/2023,19/12/2023,1,0,0,0,0
ARM 367376/23,Itajaí,BALNEÁRIO PIÇARRAS,Outros,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,10,0,0,0,0
ARM 367374/23,Itajaí,BALNEÁRIO PIÇARRAS,Outros,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,10,0,0,0,0
ARM 367371/23,Itajaí,BALNEÁRIO PIÇARRAS,Residência,ARM - Armadilha,Armadilha,26/12/2023,26/12/2023,26/12/2023,10,0,0,0,0
