Semana,ano_epi,SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2001-01-07,2001,2,26.32707132611956,27.556826453219088,24.561878024103795,28.9141803866341,28.20102136952184,28.424297455501684,29.959346348620716,28.815146866835555,29.36601713632184,25.00636855019225,29.34733360092361,29.93945263402481,28.230126117647387,25.834709339572072,25.61849861264487,29.44575077586911,25.987683812884303
2001-01-14,2001,3,28.533102150896188,30.509610993521555,27.841380207329173,29.766629031726293,30.44705755317061,28.08908813555114,32.423688427004805,29.741405748639785,30.234017489707625,27.285983701390546,32.82405756004961,31.560887637485397,30.30243783199649,29.543894587744354,27.33020560536377,32.401737877534096,28.524294886627604
2001-01-21,2001,4,29.470196973096144,30.228038327272003,27.920299066308328,29.89951999130703,31.71394535773424,28.58250015582817,31.87470007359808,29.31338401596268,30.157550630737425,27.80401662176452,32.315570160836884,30.931593069811715,31.55386638641357,29.115013500707253,27.58853669742077,31.80693945166183,29.468960720895108
2001-01-28,2001,5,27.24833716266097,29.8748298748724,26.70753985204417,29.297203174659177,28.873986316909622,27.63409340120804,32.666207705572816,29.776714902605324,29.979591166203267,26.07999067445976,32.62110435518868,32.10207316046456,28.77193339542993,28.732895295988868,26.55019825563405,32.55357143603659,27.1714825000403
2001-02-04,2001,6,29.563676438890063,30.664383251783946,28.32336598407302,30.54234969899768,30.98433012295263,29.279801934535595,32.43316078742113,29.93617635058118,30.75459824056308,28.231508477064036,32.65991403158609,31.58773405275576,31.277807414301574,29.712470929048067,28.20014995197249,32.4386845157571,29.125902629605523
2001-02-11,2001,7,28.930721911377585,29.695179725760845,27.161782687812536,29.483831436861127,30.59928166116281,28.74940051075114,31.708451696457043,28.92007036977,29.629119817058168,27.26096179434365,32.202144216562246,30.9713100603006,30.91381799668419,28.326307658296265,27.019022764914933,31.841130631777173,28.54482461307248
2001-02-18,2001,8,26.99415704734537,28.51270378474742,25.31763915372509,29.735230076880683,28.49387557977752,29.770747991142127,31.01609330135601,29.207065288989572,29.89193122400929,25.490182251173948,30.710840831277693,30.810265664463092,28.525686888160852,26.95881125763749,26.36697350522461,30.755595134429036,26.64463145263754
2001-02-25,2001,9,29.593273717617592,29.897358664571605,27.64155698859173,29.89566191321328,31.579791446688617,28.8401203253708,31.728263082031607,29.576233860362667,30.229291158179716,27.868855770312763,31.80762093779329,30.866517095231625,31.56927385477486,28.705410920729214,27.64479211702946,31.500757389105928,29.42322174108253
2001-03-04,2001,10,29.84831893213927,30.87251510803124,28.58904153727385,30.289622670128235,31.652602841640565,29.33233608211483,32.440066885322594,29.87210546320135,30.60878401866397,28.61134247087923,32.97319413552553,31.610142386505867,31.61559247786474,29.72737671897776,28.29503849942091,32.490108333221855,29.44507362900397
2001-03-11,2001,11,29.850317499659088,30.74579350221386,28.44910692385899,30.37108325958252,31.50770674874217,29.2490470522926,32.62404798279698,30.2978901761538,30.75578799126433,28.48772625767608,32.75935364595223,31.56998257238589,31.49786127119911,29.762495148828204,27.8658394139234,32.415594504070846,29.81767585142603
2001-03-18,2001,12,27.73442420321236,29.6726446212736,27.10471251673051,29.239025025140677,28.577839428543776,28.761753001268307,31.58939081308793,28.41537785616788,29.28419874792229,26.75122270702109,32.08665902273996,31.39473161928737,28.960618573266107,28.874925626234717,26.62946704404092,31.825706564050364,27.117708918219307
2001-03-25,2001,13,25.87479703552168,27.880322385190137,25.41063945824421,27.775559805688403,27.178310666765487,27.139997506847408,29.78191507522984,27.515710309511658,28.089928082057405,24.966352292201385,29.91978390681279,29.316969187754506,27.07619731306569,27.063186669661015,24.859022269160512,29.728720946787856,25.782439445228267
2001-04-01,2001,14,26.556807759799245,27.55382230795269,25.2665003122433,27.546848876135687,27.92857510773541,26.504012487109563,29.376220341674088,27.316933129050515,27.97407756252998,25.219547395094704,29.365461108385222,29.10912632749408,28.095285172628166,26.596082085057308,24.91222154740913,29.28024144555258,26.31413413507919
2001-04-08,2001,15,26.690788485061866,26.754935612302347,24.59174889595824,26.802923744633087,29.194054072032056,25.89159204539492,28.55552028288994,26.55633433057116,27.162517060505667,24.769531399112186,28.615200326762672,27.959882530562,28.882902640633606,25.715359780266677,24.1104122599301,28.35447314014173,26.92057873682192
