Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/01/2023 a 31/01/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 305752/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,01/02/2023,01/02/2023,8,0,0,0,0
ARM 305659/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/01/2023,01/02/2023,01/02/2023,10,0,0,0,0
ARM 305653/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,31/01/2023,31/01/2023,4,0,0,0,0
ARM 305651/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,31/01/2023,31/01/2023,3,0,0,0,0
ARM 305650/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,30/01/2023,31/01/2023,31/01/2023,4,0,0,0,0
ARM 305645/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,31/01/2023,31/01/2023,6,0,0,0,0
ARM 305644/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,30/01/2023,31/01/2023,31/01/2023,2,0,0,0,0
ARM 305635/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,1,0,0,0,0
ARM 305623/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,7,0,0,0,0
ARM 305619/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,1,0,0,0,0
ARM 305610/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,4,0,0,0,0
ARM 305607/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,7,0,0,0,0
ARM 305605/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,10,0,0,0,0
ARM 305603/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,12,0,0,0,0
ARM 305389/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,1,0,0,0,0
ARM 305386/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,34,0,0,0,0
ARM 305384/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,9,0,0,0,0
ARM 305380/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,1,0,0,0,0
ARM 305378/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,2,0,0,0,0
ARM 305375/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,5,0,0,0,0
ARM 305367/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,2,0,0,0,0
ARM 305360/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,10,0,0,0,0
ARM 305359/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,1,0,0,0,0
ARM 305356/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,27/01/2023,31/01/2023,31/01/2023,7,0,0,0,0
ARM 305352/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,31/01/2023,18,0,0,0,0
ARM 305351/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,20,0,0,0,0
ARM 305350/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,8,0,0,0,0
ARM 305348/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,11,0,0,0,0
ARM 305346/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,27,0,0,0,0
ARM 305343/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/01/2023,30/01/2023,30/01/2023,20,0,0,0,0
