Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/10/2023 a 31/10/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 355647/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/10/2023,30/10/2023,30/10/2023,2,0,0,0,0
ARM 355645/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/10/2023,30/10/2023,30/10/2023,40,0,0,0,0
PE 355644/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,27/10/2023,30/10/2023,30/10/2023,1,0,0,0,0
PE 355643/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,27/10/2023,30/10/2023,30/10/2023,10,0,0,0,0
PE 355642/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,27/10/2023,30/10/2023,30/10/2023,2,0,0,0,0
PE 355567/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,26/10/2023,27/10/2023,27/10/2023,2,0,0,0,0
PE 355565/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,26/10/2023,27/10/2023,27/10/2023,3,0,0,0,0
PE 355564/23,Blumenau,BLUMENAU,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,26/10/2023,27/10/2023,27/10/2023,10,0,0,0,0
PE 355558/23,Blumenau,BLUMENAU,Ponto Estratégico,E - Depósitos naturais,Ponto Estratégico,26/10/2023,27/10/2023,27/10/2023,10,0,0,0,0
ARM 355557/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/10/2023,27/10/2023,27/10/2023,1,0,0,0,0
ARM 355556/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/10/2023,27/10/2023,27/10/2023,2,0,0,0,0
ARM 355553/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,26/10/2023,27/10/2023,27/10/2023,1,0,0,0,0
ARM 355552/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,26/10/2023,26/10/2023,27/10/2023,10,0,0,0,0
ARM 355546/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/10/2023,26/10/2023,27/10/2023,30,0,0,0,0
ARM 355544/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,26/10/2023,26/10/2023,27/10/2023,10,0,0,0,0
ARM 355538/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/10/2023,27/10/2023,27/10/2023,5,0,0,0,0
ARM 355535/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/10/2023,27/10/2023,27/10/2023,9,0,0,0,0
ARM 355532/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/10/2023,27/10/2023,27/10/2023,1,0,0,0,0
PE 355528/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,25/10/2023,26/10/2023,26/10/2023,10,0,0,0,0
PE 355525/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,25/10/2023,26/10/2023,26/10/2023,1,0,0,0,0
ARM 355523/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/10/2023,26/10/2023,26/10/2023,60,0,0,0,0
ARM 355103/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/10/2023,26/10/2023,26/10/2023,20,0,0,0,0
ARM 355100/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/10/2023,26/10/2023,26/10/2023,3,0,0,0,0
PE 355097/23,Blumenau,BLUMENAU,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,25/10/2023,26/10/2023,26/10/2023,1,0,0,0,0
ARM 355094/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/10/2023,26/10/2023,26/10/2023,6,0,0,0,0
ARM 355091/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/10/2023,26/10/2023,26/10/2023,1,0,0,0,0
ARM 355086/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/10/2023,26/10/2023,26/10/2023,2,0,0,0,0
ARM 355085/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/10/2023,26/10/2023,26/10/2023,2,0,0,0,0
PE 355083/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,25/10/2023,26/10/2023,26/10/2023,4,0,0,0,0
ARM 355082/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/10/2023,26/10/2023,26/10/2023,1,0,0,0,0
LI+T 355079/23,Blumenau,BLUMENAU,Residência,B - Pequenos depósitos móveis,Levantamento de Indice + Tratamento,24/10/2023,25/10/2023,25/10/2023,7,0,0,0,0
PE 355077/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,24/10/2023,25/10/2023,25/10/2023,6,0,0,0,0
PE 355075/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,24/10/2023,25/10/2023,25/10/2023,4,0,0,0,0
PE 354876/23,Blumenau,BLUMENAU,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,24/10/2023,25/10/2023,25/10/2023,4,0,0,0,0
ARM 354874/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/10/2023,25/10/2023,25/10/2023,9,0,0,0,0
ARM 354873/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/10/2023,25/10/2023,25/10/2023,2,0,0,0,0
ARM 354872/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/10/2023,25/10/2023,25/10/2023,2,0,0,0,0
PE 354866/23,Blumenau,BLUMENAU,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,24/10/2023,25/10/2023,25/10/2023,2,0,0,0,0
ARM 354863/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/10/2023,25/10/2023,25/10/2023,3,0,0,0,0
ARM 354862/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,24/10/2023,25/10/2023,25/10/2023,6,0,0,0,0
PVE 354859/23,Blumenau,BLUMENAU,Comércio,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,23/10/2023,24/10/2023,24/10/2023,3,0,0,0,0
ARM 354853/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/10/2023,24/10/2023,24/10/2023,2,0,0,0,0
PE 354849/23,Blumenau,BLUMENAU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,23/10/2023,24/10/2023,24/10/2023,7,0,0,0,0
ARM 354845/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/10/2023,24/10/2023,24/10/2023,1,0,0,0,0
ARM 354841/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/10/2023,24/10/2023,24/10/2023,1,0,0,0,0
ARM 354511/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,31/10/2023,10/11/2023,10/11/2023,4,0,0,0,0
ARM 354488/23,Xanxerê,SÃO BERNARDINO,Residência,ARM - Armadilha,Armadilha,30/10/2023,10/11/2023,10/11/2023,10,0,0,0,0
ARM 354484/23,Xanxerê,SÃO LOURENÇO DO OESTE,Comércio,ARM - Armadilha,Armadilha,31/10/2023,10/11/2023,10/11/2023,2,0,0,0,0
ARM 354422/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/10/2023,24/10/2023,24/10/2023,16,0,0,0,0
ARM 354418/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,23/10/2023,24/10/2023,24/10/2023,16,0,0,0,0
ARM 354414/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,20/10/2023,23/10/2023,23/10/2023,3,0,0,0,0
ARM 354407/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,20/10/2023,23/10/2023,23/10/2023,11,0,0,0,0
ARM 354304/23,Itajaí,ITAPEMA,Outros,ARM - Armadilha,Armadilha,30/10/2023,03/11/2023,03/11/2023,70,0,0,0,0
