Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/06/2023 a 30/06/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
PVE 340072/23,Araranguá,SOMBRIO,Comércio,B - Pequenos depósitos móveis,Pesquisa Vetorial Especial,28/06/2023,06/07/2023,06/07/2023,14,0,0,0,0
ARM 340011/23,Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,28/06/2023,28/06/2023,28/06/2023,1,0,0,0,0
ARM 340009/23,Joinville,SÃO FRANCISCO DO SUL,Outros,ARM - Armadilha,Armadilha,28/06/2023,28/06/2023,28/06/2023,1,0,0,0,0
ARM 339995/23,Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,26/06/2023,26/06/2023,26/06/2023,10,0,0,0,0
ARM 339993/23,Joinville,SÃO FRANCISCO DO SUL,Comércio,ARM - Armadilha,Armadilha,26/06/2023,26/06/2023,26/06/2023,10,0,0,0,0
ARM 339984/23,Joinville,SÃO FRANCISCO DO SUL,Outros,ARM - Armadilha,Armadilha,26/06/2023,26/06/2023,26/06/2023,3,0,0,0,0
PE 339895/23,Chapecó,QUILOMBO,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,28/06/2023,05/07/2023,05/07/2023,3,0,0,0,0
PE 339894/23,Chapecó,QUILOMBO,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,28/06/2023,05/07/2023,05/07/2023,5,0,0,0,0
PE 339806/23,São José,FLORIANÓPOLIS,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,30/06/2023,05/07/2023,05/07/2023,4,0,0,0,0
PE 339805/23,São José,FLORIANÓPOLIS,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,30/06/2023,05/07/2023,05/07/2023,2,0,0,0,0
ID 339802/23,São José,FLORIANÓPOLIS,Residência,C - Depósitos Fixos,Investigação de Denúncia,29/06/2023,05/07/2023,05/07/2023,4,0,0,0,0
ID 339800/23,São José,FLORIANÓPOLIS,Residência,C - Depósitos Fixos,Investigação de Denúncia,30/06/2023,05/07/2023,05/07/2023,2,0,0,0,0
DF 339799/23,Araranguá,ERMO,Comércio,B - Pequenos depósitos móveis,Delimitação de Foco,29/06/2023,04/07/2023,04/07/2023,1,0,0,0,0
LI+T 339791/23,São José,NOVA TRENTO,Residência,B - Pequenos depósitos móveis,Levantamento de Indice + Tratamento,30/06/2023,04/07/2023,04/07/2023,4,0,0,0,0
PVE 339702/23,São José,TIJUCAS,Residência,C - Depósitos Fixos,Pesquisa Vetorial Especial,29/06/2023,29/06/2023,03/08/2023,4,0,0,0,0
ARM 339668/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,6,0,0,0,0
ARM 339667/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,7,0,0,0,0
ARM 339661/23,Joinville,JOINVILLE,Residência,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,35,0,0,0,0
ARM 339660/23,Joinville,JOINVILLE,Comércio,ARM - Armadilha,Armadilha,30/06/2023,30/06/2023,30/06/2023,12,0,0,0,0
