Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/04/2023 a 30/04/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
PE 333122/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,28/04/2023,28/04/2023,02/05/2023,2,0,0,0,0
PE 333119/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,28/04/2023,28/04/2023,02/05/2023,10,0,0,0,0
PE 333116/23,Blumenau,BLUMENAU,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,27/04/2023,28/04/2023,02/05/2023,2,0,0,0,0
PE 333114/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,27/04/2023,28/04/2023,02/05/2023,2,0,0,0,0
ARM 333111/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,27/04/2023,27/04/2023,28/04/2023,77,0,0,0,0
ARM 333110/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,27/04/2023,28/04/2023,13,0,0,0,0
ARM 333108/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,2,0,0,0,0
ARM 333106/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,27/04/2023,28/04/2023,13,0,0,0,0
ARM 333105/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,28/04/2023,20,0,0,0,0
ARM 333104/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,28/04/2023,2,0,0,0,0
ARM 333103/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,28/04/2023,10,0,0,0,0
ARM 333102/23,Blumenau,BLUMENAU,Residência,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,28/04/2023,4,0,0,0,0
ARM 333101/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,28/04/2023,6,0,0,0,0
ARM 333100/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,28/04/2023,7,0,0,0,0
ARM 333099/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,26/04/2023,27/04/2023,28/04/2023,4,0,0,0,0
ARM 333098/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,27/04/2023,28/04/2023,1,0,0,0,0
ARM 333097/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,1,0,0,0,0
ARM 333096/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,1,0,0,0,0
ARM 333095/23,Blumenau,BLUMENAU,Outros,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,3,0,0,0,0
ARM 333094/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,2,0,0,0,0
ARM 333093/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,27/04/2023,28/04/2023,28/04/2023,1,0,0,0,0
