Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 01/01/2019 a 31/12/2019,,,,,,
Atualizado em 26/05/2023,,,,,,
Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Joinville,JOINVILLE, ESPINHEIROS,Residência,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,COMASA,Residência,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,CENTRO,Comércio,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Outros,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,ANITA GARIBALDI,Comércio,ARM - Armadilha,Armadilha,19/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,A2 - Outros depósitos de armazenamento de água,Delimitação de Foco,12/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,A2 - Outros depósitos de armazenamento de água,Delimitação de Foco,12/12/2019
Joinville,JOINVILLE,JARDIM IRIRIU,Residência,C - Depósitos Fixos,Delimitação de Foco,12/12/2019
Joinville,JOINVILLE,ITINGA,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,13/12/2019
Joinville,JOINVILLE,FLORESTA,Residência,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,FLORESTA,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,AMERICA,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,ZONA INDUSTRIAL - TUPY,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,VILA NOVA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,VILA NOVA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,SANTO ANTÔNIO,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,SANTA CATARINA,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,PARANAGUAMIRIM,Outros,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,NOVA BRASILIA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,NOVA BRASILIA,Residência,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,NOVA BRASILIA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Residência,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,JOÃO COSTA,Residência,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,ITAUM,Residência,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,ITAUM,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,ITAUM,Outros,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,BUCAREIN,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,BOA VISTA,Comércio,ARM - Armadilha,Armadilha,16/12/2019
Joinville,JOINVILLE,BOA VISTA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,18/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Residência,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Residência,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,SAGUACU,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,PARANAGUAMIRIM,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,PARANAGUAMIRIM,Residência,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,JARIVATUBA,Comércio,ARM - Armadilha,Armadilha,17/12/2019
Joinville,JOINVILLE,JARIVATUBA,Residência,ARM - Armadilha,Armadilha,17/12/2019
