Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 01/01/2020 a 31/12/2020,,,,,,
Atualizado em 26/05/2023,,,,,,
Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Joinville,JOINVILLE,CENTRO,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,18/12/2020
Joinville,JOINVILLE,CENTRO,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,18/12/2020
Joinville,JOINVILLE,CENTRO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,18/12/2020
Joinville,JOINVILLE,SANTA CATARINA,Comércio,ARM - Armadilha,Armadilha,14/04/2020
Joinville,JOINVILLE,PARQUE  GUARANI,Comércio,ARM - Armadilha,Armadilha,28/07/2020
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,Armadilha,27/01/2020
Joinville,JOINVILLE,ATIRADORES,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,21/12/2020
Joinville,JOINVILLE,JOÃO COSTA,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,23/12/2020
Joinville,JOINVILLE,PETRÓPOLIS,Comércio,ARM - Armadilha,Armadilha,21/12/2020
Joinville,JOINVILLE,PETRÓPOLIS,Residência,ARM - Armadilha,Armadilha,21/12/2020
Joinville,JOINVILLE,PETRÓPOLIS,Residência,ARM - Armadilha,Armadilha,21/12/2020
Joinville,JOINVILLE,PETRÓPOLIS,Comércio,ARM - Armadilha,Armadilha,21/12/2020
Joinville,JOINVILLE,PETRÓPOLIS,Residência,ARM - Armadilha,Armadilha,21/12/2020
Joinville,JOINVILLE,SAGUACU,Residência,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,SAGUACU,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,SAGUACU,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,SAGUACU,Residência,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,SAGUACU,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,ZONA INDUSTRIAL - TUPY,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,ZONA INDUSTRIAL - TUPY,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,ZONA INDUSTRIAL NORTE,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,SAGUACU,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,SAGUACU,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,GLORIA,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,GLORIA,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,GLORIA,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,GLORIA,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,GLORIA,Residência,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,PIRABEIRABA,Residência,ARM - Armadilha,Armadilha,23/12/2020
Joinville,JOINVILLE,NOVA BRASILIA,Residência,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,NOVA BRASILIA,Residência,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,FLORESTA,Residência,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,FLORESTA,Residência,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,AVENTUREIRO,Comércio,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,AVENTUREIRO,Residência,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,AVENTUREIRO,Outros,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,COSTA E SILVA,Residência,ARM - Armadilha,Armadilha,22/12/2020
Joinville,JOINVILLE,COSTA E SILVA,Comércio,ARM - Armadilha,Armadilha,22/12/2020
