semana,prec,tmin,tmed,tmax,casos,focos
1,33.54,14.785714285714286,18.957142857142856,24.761428571428574,0.0,0.0
2,34.29142857142857,14.941428571428572,19.027142857142856,24.81857142857143,0.0,0.08
3,38.35428571428571,14.724285714285715,18.78142857142857,24.538571428571434,0.0,0.0
4,32.54142857142857,15.108571428571429,19.048571428571428,24.794285714285714,0.0,0.0
5,32.792857142857144,15.082857142857142,19.07,24.844285714285714,0.0,0.0
6,29.03,14.86142857142857,18.82428571428571,24.641428571428573,0.0,0.0
7,24.245714285714286,14.557142857142859,18.43285714285714,24.045714285714286,0.0,0.0
8,35.12428571428571,14.744285714285713,18.44857142857143,23.984285714285715,0.0,0.0
9,31.744285714285713,14.672857142857142,18.40857142857143,24.07,0.0,0.0
10,26.071428571428577,14.615714285714287,18.405714285714286,24.337142857142858,0.0,0.08
11,20.054285714285715,13.894285714285713,17.658571428571427,23.434285714285718,0.0,0.08
12,24.69142857142857,13.357142857142858,17.062857142857144,22.645714285714288,0.0,0.33
13,28.50142857142857,12.894285714285713,16.458571428571428,21.91571428571429,0.0,0.17
14,20.919999999999998,12.177142857142856,15.950000000000001,21.677142857142858,0.0,0.0
15,16.56714285714286,11.955714285714288,15.737142857142857,21.261428571428574,0.0,0.0
16,22.27,11.549999999999999,15.1,20.41142857142857,0.0,0.0
17,27.985714285714288,9.94714285714286,13.780000000000001,19.34285714285715,0.0,0.0
18,27.434285714285714,9.192857142857145,12.845714285714285,18.18,0.1,0.08
19,21.83285714285714,8.782857142857143,12.234285714285715,17.359999999999996,0.0,0.0
20,37.05571428571428,8.265714285714285,11.824285714285713,17.10142857142857,0.0,0.0
21,21.611428571428576,7.410000000000001,10.974285714285715,16.155714285714286,0.0,0.0
22,29.99142857142857,7.098571428571427,10.684285714285712,15.959999999999999,0.0,0.0
23,27.37285714285714,7.427142857142856,10.907142857142858,16.02142857142857,0.0,0.17
24,26.631428571428568,7.101428571428571,10.682857142857145,16.125714285714285,0.0,0.0
25,37.24142857142857,7.170000000000001,10.662857142857144,15.734285714285717,0.0,0.0
26,27.390000000000004,7.107142857142857,10.66,15.95857142857143,0.0,0.0
27,24.035714285714285,6.8999999999999995,10.538571428571428,16.162857142857142,0.0,0.0
28,40.642857142857146,6.564285714285714,10.245714285714286,15.488571428571428,0.0,0.0
29,29.94857142857143,5.825714285714286,9.73857142857143,15.475714285714286,0.0,0.0
30,25.29,6.294285714285714,10.418571428571429,16.334285714285713,0.0,0.0
31,23.53142857142857,6.778571428571429,10.984285714285713,17.162857142857142,0.0,0.0
32,25.942857142857143,6.655714285714285,10.787142857142856,16.721428571428568,0.0,0.0
33,23.922857142857143,8.247142857142858,12.295714285714284,18.274285714285714,0.0,0.0
34,19.845714285714287,7.385714285714286,11.87142857142857,18.305714285714284,0.0,0.0
35,32.66285714285714,7.964285714285714,12.02,17.782857142857143,0.0,0.0
36,38.80428571428571,9.141428571428571,13.084285714285715,18.69857142857143,0.0,0.0
37,45.27428571428572,9.051428571428572,12.917142857142855,18.232857142857142,0.0,0.0
38,35.675714285714285,9.074285714285715,13.112857142857141,18.565714285714282,0.0,0.0
39,40.46,9.492857142857144,13.294285714285712,18.48,0.0,0.0
40,44.121428571428574,10.090000000000002,13.905714285714286,19.298571428571424,0.0,0.0
41,53.09428571428572,11.275714285714287,14.84,19.792857142857144,0.0,0.0
42,37.43142857142857,10.914285714285715,14.722857142857142,19.912857142857145,0.0,0.0
43,31.840000000000003,11.092857142857143,15.29142857142857,20.805714285714288,0.0,0.0
44,33.37,11.094285714285714,15.245714285714287,20.854285714285716,0.0,0.0
45,28.078571428571426,11.411428571428571,15.52,21.21857142857143,0.0,0.0
46,32.498571428571424,11.53,15.792857142857144,21.525714285714283,0.0,0.0
47,28.442857142857143,12.772857142857143,17.114285714285717,23.018571428571427,0.0,0.0
48,31.27,12.661428571428571,16.857142857142858,22.408571428571427,0.0,0.0
49,26.529999999999998,13.290000000000001,17.50714285714286,23.407142857142855,0.0,0.0
50,29.392857142857142,13.485714285714286,17.797142857142855,23.86428571428571,0.0,0.0
51,33.46857142857143,14.197142857142856,18.512857142857143,24.552857142857142,0.0,0.0
52,34.20428571428572,14.56857142857143,18.57857142857143,24.169999999999998,0.0,0.0
53,24.611428571428572,14.845714285714285,18.99857142857143,24.957142857142856,0.0,0.0
