Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,
Período: de 01/01/2015 a 31/12/2015,,,,,,
Atualizado em 26/05/2023,,,,,,
Regional,Município,Localidade,Imóvel,Depósito,Tipo de Atividade,Data da Coleta
Itajaí,BALNEÁRIO CAMBORIÚ,PRAIA DOS AMORES,Terreno baldio,E - Depósitos naturais,Delimitação de Foco,30/12/2015
Itajaí,BALNEÁRIO CAMBORIÚ,PRAIA DOS AMORES,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,30/12/2015
Itajaí,BALNEÁRIO CAMBORIÚ,PRAIA DOS AMORES,Terreno baldio,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,30/12/2015
Itajaí,BALNEÁRIO CAMBORIÚ,PRAIA DOS AMORES,Comércio,B - Pequenos depósitos móveis,Delimitação de Foco,30/12/2015
Itajaí,BALNEÁRIO CAMBORIÚ,PRAIA DOS AMORES,Terreno baldio,B - Pequenos depósitos móveis,Delimitação de Foco,30/12/2015
Chapecó,CHAPECÓ,SEMINÁRIO,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,16/12/2015
Itajaí,BALNEÁRIO CAMBORIÚ,PRAIA DOS AMORES,Residência,E - Depósitos naturais,Delimitação de Foco,30/12/2015
Itajaí,BALNEÁRIO CAMBORIÚ,PRAIA DOS AMORES,Residência,B - Pequenos depósitos móveis,Delimitação de Foco,30/12/2015
Chapecó,CHAPECÓ,SANTO ANTONIO,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,15/12/2015
Itajaí,BALNEÁRIO CAMBORIÚ,PRAIA DOS AMORES,Residência,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Delimitação de Foco,30/12/2015
Chapecó,CHAPECÓ,PALMITAL,Ponto Estratégico,A2 - Outros depósitos de armazenamento de água,Ponto Estratégico,15/12/2015
Chapecó,CHAPECÓ,PALMITAL,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,15/12/2015
