Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/07/2023 a 31/07/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 343197/23,Xanxerê,NOVO HORIZONTE,Residência,ARM - Armadilha,Armadilha,31/07/2023,14/08/2023,14/08/2023,19,0,0,0,0
ID 343013/23,São José,FLORIANÓPOLIS,Residência,D1 - Pneus e outros materiais rodantes,Investigação de Denúncia,28/07/2023,01/08/2023,01/08/2023,10,0,0,0,0
PE 342864/23,Itajaí,ITAPEMA,Ponto Estratégico,D1 - Pneus e outros materiais rodantes,Ponto Estratégico,31/07/2023,04/08/2023,04/08/2023,1,0,0,0,0
ARM 342731/23,Xanxerê,SÃO LOURENÇO DO OESTE,Outros,ARM - Armadilha,Armadilha,31/07/2023,07/08/2023,07/08/2023,5,0,0,0,0
ARM 342730/23,Xanxerê,SÃO LOURENÇO DO OESTE,Outros,ARM - Armadilha,Armadilha,31/07/2023,07/08/2023,07/08/2023,3,0,0,0,0
ARM 342729/23,Xanxerê,SÃO LOURENÇO DO OESTE,Comércio,ARM - Armadilha,Armadilha,31/07/2023,07/08/2023,07/08/2023,1,0,0,0,0
ARM 342728/23,Xanxerê,SÃO LOURENÇO DO OESTE,Residência,ARM - Armadilha,Armadilha,31/07/2023,07/08/2023,07/08/2023,7,0,0,0,0
ARM 342727/23,Xanxerê,LAJEADO GRANDE,Outros,ARM - Armadilha,Armadilha,28/07/2023,07/08/2023,07/08/2023,19,0,0,0,0
ARM 342726/23,Xanxerê,GALVÃO,Residência,ARM - Armadilha,Armadilha,24/07/2023,07/08/2023,07/08/2023,3,0,0,0,0
ARM 342725/23,Xanxerê,ENTRE RIOS,Comércio,ARM - Armadilha,Armadilha,31/07/2023,07/08/2023,07/08/2023,6,0,0,0,0
ARM 342724/23,Xanxerê,ENTRE RIOS,Outros,ARM - Armadilha,Armadilha,31/07/2023,07/08/2023,07/08/2023,17,0,0,0,0
ARM 342723/23,Xanxerê,ENTRE RIOS,Outros,ARM - Armadilha,Armadilha,31/07/2023,07/08/2023,07/08/2023,5,0,0,0,0
ARM 342722/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,24/07/2023,07/08/2023,07/08/2023,3,0,0,0,0
ARM 342721/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,25/07/2023,07/08/2023,07/08/2023,3,0,0,0,0
ARM 342720/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,25/07/2023,07/08/2023,07/08/2023,1,0,0,0,0
ARM 342719/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,25/07/2023,07/08/2023,07/08/2023,12,0,0,0,0
ARM 342718/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,25/07/2023,07/08/2023,07/08/2023,1,0,0,0,0
ARM 342717/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,25/07/2023,07/08/2023,07/08/2023,1,0,0,0,0
ARM 342716/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,24/07/2023,07/08/2023,07/08/2023,1,0,0,0,0
ARM 342715/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,24/07/2023,07/08/2023,07/08/2023,11,0,0,0,0
