Relatório de focos de Aedes aegypti e Aedes albopictus,,,,,,,,,,,,,
Período: de 01/08/2023 a 31/08/2023,,,,,,,,,,,,,
Atualizado em 27/03/2024,,,,,,,,,,,,,
Nº Foco,Regional,Município,Imóvel,Depósito,Tipo de Atividade,Data da Coleta,Data de Entrada,Data do Exame,A. aegypti formas aquáticas,A. aegypti formas adultas,A. albopictus formas aquáticas,A. albopictus formas adultas,Ovo A. aegypti
ARM 345443/23,Xanxerê,ABELARDO LUZ,Residência,ARM - Armadilha,Armadilha,28/08/2023,04/09/2023,04/09/2023,2,0,0,0,0
ARM 345442/23,Xanxerê,ABELARDO LUZ,Residência,ARM - Armadilha,Armadilha,28/08/2023,04/09/2023,04/09/2023,38,0,0,0,0
ARM 345441/23,Xanxerê,JUPIÁ,Residência,ARM - Armadilha,Armadilha,25/08/2023,04/09/2023,04/09/2023,7,0,0,0,0
ARM 345440/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,30/08/2023,04/09/2023,04/09/2023,2,0,0,0,0
ARM 345439/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,30/08/2023,04/09/2023,04/09/2023,4,0,0,0,0
ARM 345438/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,30/08/2023,04/09/2023,04/09/2023,4,0,0,0,0
ARM 345437/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,22/08/2023,04/09/2023,04/09/2023,2,0,0,0,0
ARM 345436/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,23/08/2023,04/09/2023,04/09/2023,2,0,0,0,0
ARM 345435/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,23/08/2023,04/09/2023,04/09/2023,17,0,0,0,0
ARM 345434/23,Xanxerê,XAXIM,Residência,ARM - Armadilha,Armadilha,22/08/2023,04/09/2023,04/09/2023,18,0,0,0,0
ARM 345433/23,Xanxerê,XAXIM,Comércio,ARM - Armadilha,Armadilha,22/08/2023,04/09/2023,04/09/2023,6,0,0,0,0
ARM 345430/23,Xanxerê,ENTRE RIOS,Comércio,ARM - Armadilha,Armadilha,28/08/2023,04/09/2023,04/09/2023,4,0,0,0,0
ARM 345429/23,Xanxerê,ENTRE RIOS,Outros,ARM - Armadilha,Armadilha,28/08/2023,04/09/2023,04/09/2023,1,0,0,0,0
ARM 345428/23,Xanxerê,ENTRE RIOS,Residência,ARM - Armadilha,Armadilha,28/08/2023,04/09/2023,04/09/2023,18,0,0,0,0
ARM 345427/23,Xanxerê,ENTRE RIOS,Outros,ARM - Armadilha,Armadilha,28/08/2023,04/09/2023,04/09/2023,5,0,0,0,0
ARM 345426/23,Xanxerê,BOM JESUS,Residência,ARM - Armadilha,Armadilha,31/08/2023,04/09/2023,04/09/2023,12,0,0,0,0
ARM 345425/23,Xanxerê,BOM JESUS,Outros,ARM - Armadilha,Armadilha,31/08/2023,04/09/2023,04/09/2023,30,0,0,0,0
PE 345424/23,Xanxerê,IPUAÇU,Ponto Estratégico,B - Pequenos depósitos móveis,Ponto Estratégico,29/08/2023,04/09/2023,04/09/2023,3,0,0,0,0
ARM 345423/23,Xanxerê,IPUAÇU,Outros,ARM - Armadilha,Armadilha,30/08/2023,04/09/2023,04/09/2023,11,0,0,0,0
ARM 345422/23,Xanxerê,IPUAÇU,Outros,ARM - Armadilha,Armadilha,30/08/2023,04/09/2023,04/09/2023,10,0,0,0,0
ARM 345421/23,Xanxerê,IPUAÇU,Comércio,ARM - Armadilha,Armadilha,30/08/2023,04/09/2023,04/09/2023,7,0,0,0,0
ARM 345420/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/08/2023,01/09/2023,01/09/2023,6,0,0,0,0
ARM 345419/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/08/2023,01/09/2023,01/09/2023,4,0,0,0,0
ARM 345418/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/08/2023,01/09/2023,01/09/2023,33,0,0,0,0
ARM 345413/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,31/08/2023,01/09/2023,01/09/2023,70,0,0,0,0
PE 345411/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,30/08/2023,31/08/2023,31/08/2023,1,0,0,0,0
DF 345409/23,Blumenau,BLUMENAU,Residência,C - Depósitos Fixos,Delimitação de Foco,30/08/2023,31/08/2023,31/08/2023,3,0,0,0,0
PE 345407/23,Blumenau,BLUMENAU,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,30/08/2023,31/08/2023,31/08/2023,1,0,0,0,0
ARM 345403/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,29/08/2023,30/08/2023,30/08/2023,7,0,0,0,0
ARM 345399/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,29/08/2023,30/08/2023,30/08/2023,2,0,0,0,0
ARM 345397/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,29/08/2023,30/08/2023,30/08/2023,6,0,0,0,0
PE 345394/23,Blumenau,BLUMENAU,Ponto Estratégico,"D2 - Lixo (recipientes plásticos, latas), sucatas, entulhos",Ponto Estratégico,29/08/2023,30/08/2023,30/08/2023,2,0,0,0,0
PE 345391/23,Blumenau,BLUMENAU,Ponto Estratégico,C - Depósitos Fixos,Ponto Estratégico,29/08/2023,29/08/2023,30/08/2023,6,0,0,0,0
LI+T 345387/23,Videira,CAÇADOR,Residência,D1 - Pneus e outros materiais rodantes,Levantamento de Indice + Tratamento,31/08/2023,04/09/2023,04/09/2023,3,0,0,0,0
ARM 345386/23,Blumenau,BLUMENAU,Comércio,ARM - Armadilha,Armadilha,25/08/2023,28/08/2023,29/08/2023,3,0,0,0,0
ARM 345384/23,Chapecó,SÃO CARLOS,Residência,ARM - Armadilha,Armadilha,28/08/2023,01/09/2023,01/09/2023,1,0,0,0,0
ARM 345383/23,Chapecó,SÃO CARLOS,Comércio,ARM - Armadilha,Armadilha,28/08/2023,01/09/2023,01/09/2023,1,0,0,0,0
ARM 345375/23,Blumenau,GASPAR,Comércio,ARM - Armadilha,Armadilha,30/08/2023,01/09/2023,04/09/2023,2,0,0,0,0
ARM 345374/23,Blumenau,GASPAR,Comércio,ARM - Armadilha,Armadilha,31/08/2023,01/09/2023,04/09/2023,14,0,0,0,0
