Semana,casos,focos,tmin,tmed,tmax,prec
2016-03-27,1.0,6,16.91082763671875,20.892999376569477,27.70726122174944,13.5
2016-04-03,0.0,1,19.434008189610072,23.1508058820452,29.488906042916437,3.5
2016-04-10,0.0,4,20.135648727416992,22.63301467895508,27.423170362200057,30.875
2016-04-17,0.0,3,18.908477238246373,22.926510674612864,29.261669431413925,0.5
2016-04-24,0.0,7,11.544494356427874,15.173232895987374,21.274058750697545,30.625
2016-05-01,0.0,3,10.497270822525024,14.719404901776995,21.19154930114746,4.75
2016-05-08,1.0,5,14.855886459350586,16.795094081333705,19.901913234165736,17.0
2016-05-15,0.0,5,11.541051864624023,14.709721292768206,19.636662210736954,87.0625
2016-05-22,0.0,1,11.897653715951105,14.107380049569269,17.38705267224993,62.1875
2016-05-29,0.0,4,12.454641342163086,14.531260762895856,18.11940561022077,21.0
2016-06-05,0.0,1,5.07380029133388,9.144010543823242,14.955198696681432,8.625
2016-06-12,0.0,3,5.411357828548977,10.276538848876951,17.876207487923757,19.625
2016-06-19,0.0,0,9.00954818725586,11.03748607635498,14.758251326424736,41.25
2016-06-26,0.0,1,9.467129026140483,12.856648581368583,18.35336303710937,0.0
2016-07-03,0.0,3,8.619658367974418,13.231502532958984,19.658336639404297,2.375
2016-07-10,0.0,0,12.881925991603309,15.954332079206194,20.94664982386998,85.125
2016-07-17,0.0,0,6.310728073120117,9.683947154453822,15.496211051940918,6.125
2016-07-24,0.0,0,8.941182953970772,12.793458938598633,19.08255236489432,1.875
2016-07-31,0.0,4,11.796266828264509,15.072522708347863,21.150071825299943,14.125
2016-08-07,0.0,0,7.154452357973371,11.33893312726702,17.320199966430664,22.5
2016-08-14,0.0,0,10.79952689579555,14.077158382960729,19.183587891714915,88.4375
2016-08-21,0.0,0,7.967908178056989,12.526341710771831,19.45002474103655,59.375
2016-08-28,0.0,1,12.442013331821986,16.025543894086564,20.76060540335519,11.0
2016-09-04,0.0,3,10.66661548614502,14.704391070774625,20.659594127110072,41.125
2016-09-11,0.0,2,12.720147405351913,17.176851272583008,24.104745047433035,1.625
2016-09-18,0.0,0,11.517409597124372,15.356375694274902,21.29463713509696,3.875
2016-09-25,0.0,2,11.101164954049247,14.525239399501256,20.14624391283308,8.125
2016-10-02,0.0,7,12.408583504813055,15.045609201703751,19.445416041782924,46.75
2016-10-09,0.0,1,14.072958401271276,16.985985619681223,20.87374142238072,31.5
2016-10-16,0.0,4,16.810629435947963,19.94191673823765,25.265273230416437,49.5
2016-10-23,0.0,1,14.479277747017996,17.56053897312709,22.09426525660924,23.75
2016-10-30,0.0,3,14.50004495893206,18.0906275340489,23.068568093436102,1.0
2016-11-06,0.0,0,15.200416837419782,19.312013626098636,24.73842348371233,30.1875
2016-11-13,0.0,2,14.598630496433804,17.983033861432755,22.555060522896905,6.875
2016-11-20,0.0,1,14.471596581595284,18.19419983455113,23.59941346304757,6.625
2016-11-27,0.0,6,16.43699496132987,19.25151675088065,23.05769947596959,19.125
2016-12-04,0.0,1,16.020845685686385,19.90030070713588,25.10901859828404,43.5
2016-12-11,0.0,6,16.452649797712052,19.45805549621582,23.494408743722097,10.8125
2016-12-18,0.0,2,18.456590379987443,22.15383965628488,27.350479670933314,21.9375
2016-12-25,0.0,1,20.449407849993023,24.20445442199707,29.733286993844168,6.875
2017-01-01,0.0,4,20.06909043448312,23.42386954171317,28.919063295636857,51.875
2017-01-08,0.0,1,18.962938036237443,23.34183229718889,29.93275451660156,33.125
2017-01-15,0.0,8,18.82986640930176,22.802962166922438,28.65548951285226,18.8125
2017-01-22,0.0,3,18.447051729474747,21.30629294259208,26.375593185424805,74.25
2017-01-29,0.0,12,18.72987937927246,21.899531773158483,26.637184143066406,38.1875
2017-02-05,0.0,5,19.49000331333705,22.64521380833217,27.66282980782645,1.75
2017-02-12,0.0,4,19.703423363821848,23.43234688895089,29.346428189958846,63.5
2017-02-19,0.0,8,19.067671367100303,23.44411277770996,29.845997401646205,13.0625
2017-02-26,0.0,5,19.07324491228376,22.776616505214147,29.129303250994003,32.75
2017-03-05,0.0,3,20.058634894234796,22.793230329241077,27.43021174839565,13.1875
2017-03-12,0.0,11,17.85676315852574,20.56627709524972,24.928301674979075,34.4375
