Semana,Município,Casos
2022-01-02,PRINCESA,0
2022-01-02,BIGUAÇU,0
2022-01-02,POUSO REDONDO,0
2022-01-02,URUSSANGA,0
2023-01-01,SÃO BENTO DO SUL,0
2023-01-01,SÃO PEDRO DE ALCÂNTARA,0
2023-01-01,SANTA TEREZINHA,0
2023-01-01,SÃO BONIFÁCIO,0
2023-01-01,SÃO LUDGERO,0
2023-01-01,MAFRA,0
2023-01-01,ITUPORANGA,0
2023-01-01,PRESIDENTE GETÚLIO,0
2023-01-01,SANTO AMARO DA IMPERATRIZ,0
2023-01-01,ÁGUAS MORNAS,0
2023-01-01,FORQUILHINHA,0
2023-01-01,ORLEANS,0
2023-01-01,LAURO MÜLLER,0
2023-01-01,ANITÁPOLIS,0
2023-01-01,LUZERNA,0
2023-01-01,HERVAL D'OESTE,0
2023-01-01,PASSO DE TORRES,0
2023-01-01,ALFREDO WAGNER,0
2023-01-01,PAPANDUVA,0
2023-01-01,SÃO JOÃO DO ITAPERIÚ,0
2023-01-01,RIO DOS CEDROS,0
2023-01-01,DOUTOR PEDRINHO,0
2023-01-01,ANTÔNIO CARLOS,0
2023-01-01,PAULO LOPES,0
2023-01-01,SALETE,0
2023-01-01,LEOBERTO LEAL,0
2023-01-01,GRAVATAL,0
