Semana,SE,ALTO URUGUAI CATARINENSE,ALTO VALE DO ITAJAÍ,ALTO VALE DO RIO DO PEIXE,CARBONÍFERA,EXTREMO OESTE,EXTREMO SUL CATARINENSE,FOZ DO RIO ITAJAÍ,GRANDE FLORIANÓPOLIS,LAGUNA,MEIO OESTE,MÉDIO VALE DO ITAJAÍ,NORDESTE,OESTE,PLANALTO NORTE,SERRA CATARINENSE,VALE DO ITAPOCU,XANXERÊ
2001-01-07,2,84.73707,55.73016,42.33906,49.875,59.291668,59.61111,64.75961,57.289856,61.45486,53.345703,82.388885,111.435,60.756943,84.40824,64.9553,112.882355,51.94952
2001-01-14,3,42.935345,43.535713,42.84375,80.681816,20.710938,92.541664,6.7211537,14.153986,43.447918,51.708984,30.233334,27.72,37.68403,50.914894,54.111755,15.095589,33.983173
2001-01-21,4,21.681034,11.071428,19.840626,22.818182,19.523438,46.703705,55.221153,40.5,20.239584,36.429688,20.961111,73.0,15.46875,21.013298,28.614239,58.07353,27.680288
2001-01-28,5,67.3125,48.891865,62.34922,85.599434,65.45573,96.041664,44.764423,70.20109,92.927086,87.81738,32.144444,85.0325,70.12326,48.88896,65.31664,67.55147,72.438705
2001-02-04,6,31.32974,30.643848,45.627342,74.8125,47.946613,103.263885,38.89904,60.392212,51.34028,30.53711,39.6125,95.8625,51.40625,49.87234,28.309189,35.70956,48.08654
2001-02-11,7,34.780174,43.40278,51.029686,129.91478,34.914062,85.421295,45.471153,52.856884,116.28819,37.615234,72.14445,211.41,62.541668,53.340427,38.85265,149.97794,37.048077
2001-02-18,8,91.05604,81.43254,63.135937,66.63636,89.135414,61.078705,40.58654,87.6558,59.993057,67.7793,60.23611,72.73,65.170135,69.82447,61.299667,43.05147,118.76923
2001-02-25,9,20.37069,11.273809,15.0859375,55.301136,29.083334,63.037037,39.192307,44.05616,36.52778,11.556641,32.791668,50.18,41.163193,10.216755,19.134933,42.691177,27.39423
2001-03-04,10,18.698277,48.00595,25.32578,27.65625,30.674479,80.63194,49.908653,37.663948,14.703125,16.982422,62.120834,144.1525,32.456596,20.379654,35.243378,56.77206,33.423077
2001-03-11,11,21.26724,33.86905,27.245312,42.153408,12.6796875,58.675926,29.028847,22.286232,31.416666,17.25586,39.35278,20.525,31.15625,18.547873,42.725166,16.102942,18.399038
2001-03-18,12,41.857758,22.867064,25.84375,20.09091,47.039062,27.476852,33.451923,51.730072,19.177084,41.0,28.991667,34.195,36.524307,14.441489,27.152317,23.44853,37.639423
2001-03-25,13,17.775862,15.170635,9.4609375,15.670455,13.651042,10.097222,10.355769,15.978261,17.993055,19.777344,12.586111,71.285,12.569445,24.122341,19.839403,39.816177,16.911058
